name,id,premium,alternate_url,created_at,department.name,employer.name,area.name,professional_roles.name,employment.name,experience.name,salary,salary.from,salary.to,salary.currency,salary.gross,schedule.name,snippet.requirement,snippet.responsibility,working_time_intervals.name,type.name,description.vacancy
Младший бизнес-аналитик,91125702,False,https://hh.ru/vacancy/91125702,2023-12-28T17:01:47+0300,,"OASIS, группа компаний",Москва,Аналитик,Полная занятость,Нет опыта,NaN,40000.0,50000.0,RUR,False,Удаленная работа,"Хорошо развитыми навыками самостоятельного поиска, обработки, оформления и структурирования информации. Высшим образованием (желательно профилирующим). Умением писать просто, понятно и грамотно. ",Администрировать базу знаний компании на sharepoint.com. Помогать <highlighttext>бизнес</highlighttext>-<highlighttext>аналитику</highlighttext> формализовать процессы необходимыми материалами (80% объема всех создаваемых документов будут создаваться...,,Открытая,"Группа компаний Oasis - ведущий поставщик корпоративных подарков и промо продукции России и странах СНГ с 1994 года. Мы продолжаем динамично развиваться и находимся в поиске талантливого коллеги :) Что необходимо делать:  Создавать и актуализировать единые стандарты для разработки и оформления внутренних документов; Создавать простые, понятные, грамотные аудио/видео/текстовые документы для сотрудников различных департаментов; Управлять жизненным циклом документов компании, регулярно обновлять материалы на основании новых практик и решений; Администрировать базу знаний компании на sharepoint.com; Помогать бизнес-аналитику формализовать процессы необходимыми материалами (80% объема всех создаваемых документов будут создаваться под процессы); Принимать участие в рабочих встречах по описанию бизнес-процессов; Осуществлять процедуру «внесение изменений» в описанные бизнес-аналитиком блок-схемы процессов в системе miro; Проводить самостоятельные рабочие группы со стейкхолдерами при создании документов и корректировке бизнес-процессов.  Какого сотрудника мы хотим в команду? Который обладает :)  Хорошо развитыми навыками самостоятельного поиска, обработки, оформления и структурирования информации; Высшим образованием (желательно профилирующим); Умением писать просто, понятно и грамотно; Высокой скоростью печати; Системным мышлением; Готовностью много общаться и обсуждать решения; Высоким уровнем работоспособности и самостоятельности; Внимательностью к деталям, усидчивостью и умением работать в режиме многозадачности.  Кандидаты имеющие данный опыт будут рассматриваться в приоритете:  Опыт моделирования и описания бизнес-процессов; Опыт внедрения документальной составляющей компании; Опыт формирования бизнес-требований и технических заданий.  Oasis предлагает:  Оформление по ТК РФ, 100% ""Белая ЗП"". Возможность карьерного и профессионального роста; Работу в компании, где нас более 500 человек, с собственным производственно-складским комплексом класса ""А""; Формат работы обсуждается индивидуально (возможен полностью удаленный формат работы); График 5/2 с 9:00 до 18:00 или 10:00 до 19:00, выходные суббота и воскресенье; Наличие собственной парковки у офиса; ДМС (после испытательного срока).  Сопроводительное письмо выделяет вас среди других кандидатов. Просьба в письме указывать желаемый уровень дохода. Хорошего дня."
Операционный директор,90877868,False,https://hh.ru/vacancy/90877868,2023-12-20T15:42:09+0300,,UP business,Москва,Операционный директор (COO),Полная занятость,От 3 до 6 лет,NaN,400000.0,,RUR,False,Полный день,"м. Опыт работы с <highlighttext>бизнес</highlighttext>-<highlighttext>аналитикой</highlighttext>. Успешный опыт управления подрядчиками и координации различных команд (маркетинг, PR, технические специалисты и другие). ","Организация открытия мультимедийной выставки. Взаимодействие со всеми поставщиками. Найм и координация новых сотрудников для комплектации команд, настройка рабочего графика и...",,Открытая,"Информация о компании: «Арт Пространство» — мультимедийная выставка на 2000 квадратных метров, расположенная в ""Солнце Москвы"" рядом с ВДНХ. Это уникальный проект, который основан на успешном опыте компании TeamLab, не имеет аналогов в России и воспроизводит современные мультимедийные тренды из Токио и Дубая. Это сформированная команда профессионалов с ярким видением идеального мультимедийного пространства в области PR, маркетинга, дизайна и технического обеспечения. Проект ориентирован на создание уникального пространства с потенциалом расширения в другие города. Наши преимущества:    Мультимедийная выставка — подобные выставки есть только в Токио, Майами, Шанхае, Сингапуре, Нью-Йорке и Дубае;   Эксклюзивная площадка, у которой не будет аналогов в РФ;   Подтвержденный спрос в РФ - полная аналитика по миру и по РФ;   Владелец компании с 12-летним опытом ведения успешного бизнеса в России и личными инвестициями в проект.   Причина открытия вакансии: для стратегического развития компании необходим сильный сотрудник с опытом и развитыми управленческими навыками. Если вам интересно руководить новым проектом с уникальной атмосферой, который будет доставлять удовольствие большому количеству людей, мы ждем вас! Требования к кандидату:   Управленческий опыт более 4-х лет;   Опыт открытия физических объектов, предпочтительно выставочных пространств;   Желателен успешный опыт организации выставок с физическим пространством более 500 кв. м;   Опыт работы с бизнес-аналитикой;   Успешный опыт управления подрядчиками и координации различных команд (маркетинг, PR, технические специалисты и другие);   Желателен опыт организации мероприятий с посадкой до 120 человек и фуршетов до 300 человек;   Умение смотреть на несколько шагов вперед;   Нацеленность на результат.   Обязанности:  Организация открытия мультимедийной выставки; Взаимодействие со всеми поставщиками; Найм и координация новых сотрудников для комплектации команд, настройка рабочего графика и регламентов; Эффективное взаимодействие с отделами для достижения бизнес-показателей; Оперативное управление командами по организации и открытию мультимедийной выставки; Взаимодействие с привлеченными командами (PR, маркетинг, дизайн, техническая поддержка, ремонт) и подрядчиками, включая кейтеринг; Обеспечение высокого уровня посещаемости мероприятий.  Условия:   Понятная и прозрачная система мотивации: высокий оклад (согласовывается и оговаривается по результатам собеседования) + система премий, состоящая из квартальных и годовых бонусов;   Работа не с полного нуля — у нас уже есть 6 команд, которые будут в вашем распоряжении и с которыми вы будете работать плечом к плечу;   Возможность реализовать свой потенциал и развиваться вместе с успешной компанией;   Официальное оформление;   График работы: 5/2 с 08:00/09:00/10:00 до 17:00/18:00/19:00;   Работа в шаговой доступности от м. “ВДНХ”.  "
Стажер-аналитик,91082449,False,https://hh.ru/vacancy/91082449,2023-12-30T13:56:15+0300,,Maskoholic,Москва,Другое,Частичная занятость,Нет опыта,NaN,20000.0,20000.0,RUR,False,Удаленная работа,"Учишься в ВУЗе на технической специальности: математика, <highlighttext>бизнес</highlighttext>-<highlighttext>аналитика</highlighttext> и т.д. Хочешь развиваться в сфере аналитики. Уверенно работаешь в...","Помогать операционному директору в сборе аналитики по всей компании: google/excel таблицы, другие инструменты (битрикс, 1С, datalens, PowerBI). ",,Открытая,"Maskoholic - российский бренд уходовой косметикиМы производим и продаем высококачественную современную уходовую косметику с 2019 года. Нас можно найти в магазинах Золотое яблоко, Letual, Lamoda, Wildberries, Ozon и др.На сегодняшний день продаем более 900 000 единиц косметики в год (и не планируем останавливаться).У нас амбиционные планы стать лидером в сегменте уходовой косметики и построить большую, международную компанию.Наша миссия - давать людям здоровье, энергию и вдохновение быть свободными. Быть свободными — значит делать именно то, что ты хочешь, не бояться мечтать об этом и достигать своих мечт. Команда Maskoholic - креативные профессионалы своего дела.Мы внедряем практики бирюзового управления:- строим организационную структуру относительно клиента;- развиваем самоорганизацию;- даем много полномочий для принятия решений.У нас можно запускать проекты без длительных согласований и влиять на процессы в компании)Maskoholic - это про свободу: быть там, где хотим и с кем хотим, свобода делать то, что любим. Сейчас мы ищем Стажера в операционный отдел Что предстоит делать:  Помогать операционному директору в сборе аналитики по всей компании: google/excel таблицы, другие инструменты (битрикс, 1С, datalens, PowerBI)  Cоздавать единое инфополе, делать показатели доступными и понятными для коллег  Далее полностью самостоятельно вести аналитику и усиливать аналитическую функцию в компании  Что мы ждем:  Учишься в ВУЗе на технической специальности: математика, бизнес-аналитика и т.д. Хочешь развиваться в сфере аналитики Уверенно работаешь в excel и google-таблицах, а также хочешь осваивать новые инструменты Ты структурный и внимательный человек  От нас:  Оплачиваемая стажировка Стажировка длится 6 месяцев Частичная занятость: 20 часов в неделю Классная, молодая команда Отсутствие бюрократии и жесткой иерархии - у нас много свободы и ответственности Опыт работы с реальными кейсами, плотная коммуникация с директорами компании Красивый офис в стиле лофт, 5 минут от м. Чистые пруды Гибкий график работы, возможность полностью работать удаленно Возможность построить карьеру в компании  Понимаем, что на данный момент вам, возможно, нечего написать в графе ""опыт""Поэтому будем рады сопроводительному письму:расскажите немного о себе, как хотите развиваться и строить карьеру, все то, что сочтете нужным для позиции :)"
Директор по организационному развитию и качеству,91040093,False,https://hh.ru/vacancy/91040093,2023-12-29T13:41:28+0300,,ВИНК,Санкт-Петербург,Другое,Полная занятость,Более 6 лет,NaN,200000.0,,RUR,False,Полный день,"Навыки бизнес-моделирования, <highlighttext>бизнес</highlighttext>-<highlighttext>аналитики</highlighttext>, регламентации, аудита бизнес-процессов. Работа в Business Studio, Visio, 1С. Нотации бизнес-процессов IBPMN...","Управление организационным развитием, качеством и рисками в группе компаний. Описание бизнес-модели, <highlighttext>бизнес</highlighttext>-<highlighttext>аналитика</highlighttext>, регламентация, KPI. Управление изменениями, бережливое производство...",,Открытая,"Обязанности:   Управление организационным развитием, качеством и рисками в группе компаний;   Описание бизнес-модели, бизнес-аналитика, регламентация, KPI;   Управление изменениями, бережливое производство, LEAN;   Анализ контрольных показателей процессов, в том числе NPS и CSAT;   Обучение персонала требованиям регламентов;  Организация внутренних аудитов СМК;  Управление рисками, охрана труда, безопасность и экология.   Требования:   Навыки бизнес-моделирования, бизнес-аналитики, регламентации, аудита бизнес-процессов;   Работа в Business Studio, Visio, 1С;   Нотации бизнес-процессов IBPMN 2.0, DEF0;   KPI, NPS, CSAT;     Релевантный опыт управления изменениями;   Интерес к теме бережливого производства, LEAN.   Условия:  официальное оформление; Будни, с 09.00 до 18:00.  Важно (!) - этапы подбора: 1. Видео-презентация. Просим вас в отклике на вакансию указать ссылку на вашу видео-презентацию, в которой вы за 5-8 минут расскажете нам о своём опыте работы и реализованных проектах. 2. Тестирование в офисе + интервью с директором по персоналу. 3. Видео-интервью по компетенциям. 4. Интервью с Собственником с презентацией (любой удобный вам формат) реализованных задач по бизнес-моделированию на конкретных примерах."
Руководитель IT-проектов,91077243,False,https://hh.ru/vacancy/91077243,2023-12-27T11:40:09+0300,,ДЕКА,Казань,Руководитель проектов,Полная занятость,От 1 года до 3 лет,NaN,200000.0,300000.0,RUR,True,Полный день,"Опыт взаимодействия с командой системных/<highlighttext>бизнес</highlighttext> <highlighttext>аналитиков</highlighttext>, управление процессом превращения первоначальных требований в техническую документацию и задачи на разработку. ","Управление процессом разработки и проектирования IT решения. Формирование и проработка первичных бизнес-требований для команды аналитиков, формирование и приоритизация бэклога...",,Открытая,"Обязанности:  Управление процессом разработки и проектирования IT решения Формирование и проработка первичных бизнес-требований для команды аналитиков, формирование и приоритизация бэклога продукта; Контроль над процессом проектирования и процессом разработки продукта; Организация эффективной работы команды по развитию продукта.  Требования:  Успешный опыт поддержки и развития продуктов в роли менеджера продукта или PO/PM; Опыт работы в системах выставления задач (JIRA/REDMINE и т.п.) Понимание процесса разработки и всех этапов жизненного цикла продукта; Опыт взаимодействия с командой системных/бизнес аналитиков, управление процессом превращения первоначальных требований в техническую документацию и задачи на разработку Самостоятельность, ответственность, коммуникабельность, умение аргументировать позицию; Организации работы команды и выстраивания коммуникаций;  Целеполагание и долгосрочное планирование: постановка целей команды + Roadmap.   Условия:  Работа в аккредитованной IT компании; Возможность оформления льготной IT-Ипотеки; Современный и просторный офис в центре города на улице Волкова. Позитивная, молодая и амбициозная команда; Полностью ""белая"" и своевременно выплачиваемая заработная плата и официальное трудоустройство в соответствии с ТК РФ; Рабочий график: понедельник-пятница с 9:00 до 18:00; Обеспечение всем необходимым оборудованием для работы "
Руководитель направления (Департамент информационных технологий),91138038,False,https://hh.ru/vacancy/91138038,2023-12-29T11:01:22+0300,,ТрансРесурс,Москва,Руководитель проектов,Полная занятость,От 3 до 6 лет,NaN,225000.0,,RUR,True,Полный день,Опыт в должности «Руководитель проектов/продуктов» от 3-х лет (обязательно). Опыт работы в сфере 1С от 3-х...,Активное участие в развитии и оптимизации текущих процессов бизнес-блока за счет ИТ совместно с <highlighttext>бизнес</highlighttext>-<highlighttext>аналитиком</highlighttext> направления. ,,Открытая,"Группа компаний ТрансРесурс – стремительно развивающая компания в вагоноремонтной отрасли, и если три года назад компания занимала ведущую роль только в области поставки деталей для ремонта грузовых вагонов, то сейчас мы предлагаем клиентам услуги всего жизненного цикла вагонов от начала эксплуатации до разделки/утилизации. Одновременно с развитием компании развиваются ИТ-сервисы, и мы ищем ИТ-атланта, который возглавить одно из четырех направлений и сможет с другими участниками большой и дружной команды поддерживать и развивать целый комплекс ИТ-продуктов. Чем придется заниматься: ПОДДЕРЖКА СЕРВИСОВ:  контроль исполнения SLA по разработанным продуктам/ проектам/ функциональности (преимущественно на базе 1С); проведение мероприятий по улучшению качества и сроков выполнения обращений;  РАЗВИТИЕ СЕРВИСОВ: участие в новых продуктах в роли Product manager:  инициация ИТ-задач и предложение решений бизнесу; ранжирование ИТ-инициатив в рамках направления; активное участие в развитии и оптимизации текущих процессов бизнес-блока за счет ИТ совместно с бизнес-аналитиком направления; участие в проработке ИТ-архитектуры нового продукта совместно с техническими специалистами; контроль сроков реализации проекта/продукта, бюджетирование, управление рисками и договорная деятельность (при необходимости);  КОМАНДООБРАЗОВАНИЕ:  активное участие в формирование и «наилучшего применения» каждого участника команды (около 10 человек) (подбор, удержание, развитие сотрудников); выстраивание качественного взаимодействия с участниками смежных ИТ-направлений;  ПОЗИЦИОНИРОВАНИЕ:  выстраивание эффективных отношений с ключевыми бизнес-заказчиками и другими стейкходерами продуктов/проектов, включая формализацию отношений через нормативные документы;  Мы ждем от кандидата:  Опыт в должности «Руководитель проектов/продуктов» от 3-х лет (обязательно); Опыт работы в сфере 1С от 3-х лет, базовые знания конфигураций 1С (обязательно); Знание и понимание различных методологий внедрения проектов/проектов; Опыт внедрение проектов в ж/д-, авто-, авиа-перевозки, тяжелая промышленность (как преимущество); Критическое мышление, эмоциональный интеллект, коммуникабельность, инициативность, ответственность, лидерские качества; Высшее техническое образование (преимуществом будет техническое или управленческое).  Работая в ТрансРесурс Вы можете рассчитывать на:  Работу в крупном многопрофильном холдинге, занимающем лидирующие позиции на рынке; Официальное трудоустройство в аккредитованной ИТ-компании по ТК РФ; Работа в команде опытных специалистов; Корпоративные льготы: новогодние детские подарки, материальная поддержка сотрудников в различных жизненных ситуациях; Спортивные и культурные мероприятия (Новый год, ""Гонка героев"", спортивные забеги); ДМС согласно политике компании; Конкурентную заработную плату (оклад + ежемесячная премия); График работы 5/2 (с 09:00 до 18:00, пт. до 16:45); Современный офис в шаговой доступности от метро Курская/Чкаловская; Уютная кухня, где всегда есть возможность разогреть свой обед; Для продуктивной работы у вас будет комфортное, оборудованное самым необходимым, рабочее место и благоприятная атмосфера.   "
"Начинающий специалист/Стажер в IT-компанию (Аналитик Битрикс24, Удаленно)",90215641,False,https://hh.ru/vacancy/90215641,2023-12-01T18:17:54+0300,,INVO Group,Казань,Бизнес-аналитик,Стажировка,Нет опыта,NaN,40000.0,100000.0,RUR,True,Удаленная работа,"Высокий уровень самодисциплины и огромная любовь к систематизации. Желание развиваться в направлении IT консалтинга. Развитые коммуникативные навыки, т.к. ","Отвечать на вопросы клиентов по работе в Битрикс24. Вносить простые корректировки в работу портала (телефония, права доступа, бизнес процессы...",,Открытая,"=== Внимание! Вакансия открыта до 23 декабря включительно! ===   Привет! Меня зовут Дмитрий, я основатель INVO Group. Ниже я максимально понятно и реально опишу кто мы, кто нам нужен и что ты получишь, если присоединишься к команде. Уверен сэкономлю тебе время и напишу в точности как есть на самом деле, чтобы твои ожидания совпали с реальностью. Мы являемся Золотым партнером Битрикс24, занимаем 1-е место в ЮФО и 5-е место в общем рейтинге партнеров Битрикс в России и СНГ по количеству и качеству внедрений среди 14 000 компаний. Что такое Битрикс24? Это система управления бизнесом, которая включает в себя следующие модули: CRM, управление задачами и проектами, виртуальная телефония, сквозная аналитика, система коммуникаций в компании, бизнес-процессы. Все эти модули помогают бизнесу работать значительно эффективнее. По итогам исследований и опросов Битрикс24 является № 1 в своём сегменте и самой популярной CRM системой в России. За 5 лет мы внедрили Битрикс24 более чем в 800 компаниях из разных городов России и зарубежных стран (Германия, Франция, Словения). Это очень хороший результат и колоссальный объем работы. Наша команда выросла с 2 до 50 человек, и мы продолжаем расти. Сейчас мы расширяем отдел - Администраторы Битрикс24, сотрудники которого сопровождают настроенные порталы наших клиентов. В связи с этим мы ищем системных, внимательных к деталям людей на эту должность. На эту вакансию мы рассматриваем людей без опыта работы, и готовы всему научить. Если ты только делаешь первые шаги в работе - можешь расценивать нашу вакансию как начало карьеры в области IT консалтинга. Что мы предлагаем на этой должности:  Среднемесячный доход 30-50 тыс. руб.  Полностью удаленная работа с графиком 5/2 с 9.00 до 18.00, выходные как у всех Оплачиваемое пошаговое обучение с нуля по настройке Битрикс24, а также технологии работы с клиентами Личное наставничество от руководителя, который ежедневно будет наблюдать за твоими действиями и развивать твои профессиональные навыки. Молодой и дружный коллектив, средний возраст 25-30 лет (в отделе аналитиков 20-24 года). Внутри коллектива все общаемся на ""Ты"". Атмосфера настоящей команды единомышленников, которая как единый организм работает для достижения общих целей, поддерживает друг друга и искренне радуется успехам каждого сотрудника! Проработанная карьерная лестница (ты можешь стать Бизнес аналитиком по настройке и внедрению Битрикс24, где доход составляет от 100 000 в месяц, или руководителем отдела, так как у нас каждые 3-4 месяца формируются новые отделы).  Что конкретно нужно будет делать:   Отвечать на вопросы клиентов по работе в Битрикс24;   Вносить простые корректировки в работу портала (телефония, права доступа, бизнес процессы, добавление/увольнение сотрудников и т.д.);   Проверять работу сотрудников клиента на портале по чек-листам;   Проводить аудиты портала и предоставлять рекомендаций по его доработке;   Настраивать роботы и бизнес процессы на портале клиента.   Отчетность для клиента по выполненным задачам.   Ты подходишь нам, если у тебя есть:   высокий уровень самодисциплины и огромная любовь к систематизации   желание развиваться в направлении IT консалтинга   развитые коммуникативные навыки, т.к. нужно будет активно взаимодействовать с сотрудниками компаний которых ты будешь сопровождать.   организованное рабочее место (пк/ноутбук, гарнитура с микрофоном, интернет со скоростью не менее 2 Мбит/сек);   Эта работа позволит тебе:   Попробовать себя в роли IT специалиста в разных отраслях бизнеса.   Освоить с нуля новые навыки в перспективной профессии.   Работать в профессиональной команде, занимающей лидирующие позиции в своей отрасли.   Очень быстро вырасти по карьере при наличии стремления и задатков руководителя.   Если тебе отозвалось и заинтересовало все, что написано выше, и ты готов проверить себя — делай шаг, откликайся на вакансию. ВАЖНО! Напиши в сопроводительном письме заголовок с главной страницы нашего сайта и 3 причины, почему ты хочешь работать в нашей компании на этой должности. Ждем тебя на собеседовании!"
Младший аналитик (IT),90551870,False,https://hh.ru/vacancy/90551870,2023-12-29T12:25:21+0300,,Olima,Москва,Аналитик,Стажировка,Нет опыта,NaN,100000.0,140000.0,RUR,False,Полный день,"Опыт работы в данной сфере необязателен. Перед трудоустройством проводится подготовка. Приветствуются базовые знания SQL, Java, Python, C#, JavaScript, PHP.",Анализ процессов компании. Составление схем бизнес-процессов. Составление технических заданий (ТЗ). Постановка задач разработчикам. Контроль сроков выполнения задач. ,,Открытая,"Мы – IT кадровое агентство. Трудоустраиваем кандидатов в компании на должности бизнес-аналитик и системный аналитик. Рассматриваются кандидаты без опыта Наши услуги по трудоустройству для кандидатов платные. Оплата происходит после трудоустройства с заработных плат Обязанности:  Анализ процессов компании Составление схем бизнес-процессов Составление технических заданий (ТЗ) Постановка задач разработчикам Контроль сроков выполнения задач Расстановка приоритетов по задачам Составление инструкций для пользователей  Требования:  Опыт работы в данной сфере необязателен. Перед трудоустройством проводится подготовка Приветствуются базовые знания SQL, Java, Python, C#, JavaScript, PHP  Условия:  Полностью белое трудоустройство по ТК РФ График работы: 5/2 с 09:00 до 18:00 или с 10:00 до 19:00 Работа в офисе, кандидаты на удаленную работу не рассматриваются! Оклад: 100 000 – 140 000 рублей на руки (после вычета налогов)  Если Вы приняли решение, что хотите попробовать свои силы, тогда оставляйте отклик на вакансию. Мы ждем именно Вас!"
"Начинающий специалист/Стажер в IT-компанию (Аналитик Битрикс24, Удаленно)",90215552,False,https://hh.ru/vacancy/90215552,2023-12-01T18:16:21+0300,,INVO Group,Санкт-Петербург,Бизнес-аналитик,Стажировка,Нет опыта,NaN,40000.0,100000.0,RUR,True,Удаленная работа,"Высокий уровень самодисциплины и огромная любовь к систематизации. Желание развиваться в направлении IT консалтинга. Развитые коммуникативные навыки, т.к. ","Отвечать на вопросы клиентов по работе в Битрикс24. Вносить простые корректировки в работу портала (телефония, права доступа, бизнес процессы...",,Открытая,"Внимание! Вакансия открыта до 23 декабря включительно!   Привет! Меня зовут Дмитрий, я основатель INVO Group. Ниже я максимально понятно и реально опишу кто мы, кто нам нужен и что ты получишь, если присоединишься к команде. Уверен сэкономлю тебе время и напишу в точности как есть на самом деле, чтобы твои ожидания совпали с реальностью. Мы являемся Золотым партнером Битрикс24, занимаем 1-е место в ЮФО и 5-е место в общем рейтинге партнеров Битрикс в России и СНГ по количеству и качеству внедрений среди 14 000 компаний. Что такое Битрикс24? Это система управления бизнесом, которая включает в себя следующие модули: CRM, управление задачами и проектами, виртуальная телефония, сквозная аналитика, система коммуникаций в компании, бизнес-процессы. Все эти модули помогают бизнесу работать значительно эффективнее. По итогам исследований и опросов Битрикс24 является № 1 в своём сегменте и самой популярной CRM системой в России. За 5 лет мы внедрили Битрикс24 более чем в 800 компаниях из разных городов России и зарубежных стран (Германия, Франция, Словения). Это очень хороший результат и колоссальный объем работы. Наша команда выросла с 2 до 50 человек, и мы продолжаем расти. Сейчас мы расширяем отдел - Администраторы Битрикс24, сотрудники которого сопровождают настроенные порталы наших клиентов. В связи с этим мы ищем системных, внимательных к деталям людей на эту должность. На эту вакансию мы рассматриваем людей без опыта работы, и готовы всему научить. Если ты только делаешь первые шаги в работе - можешь расценивать нашу вакансию как начало карьеры в области IT консалтинга. Что мы предлагаем на этой должности:  Среднемесячный доход 30-50 тыс. руб.  Полностью удаленная работа с графиком 5/2 с 9.00 до 18.00, выходные как у всех Оплачиваемое пошаговое обучение с нуля по настройке Битрикс24, а также технологии работы с клиентами Личное наставничество от руководителя, который ежедневно будет наблюдать за твоими действиями и развивать твои профессиональные навыки. Молодой и дружный коллектив, средний возраст 25-30 лет (в отделе аналитиков 20-24 года). Внутри коллектива все общаемся на ""Ты"". Атмосфера настоящей команды единомышленников, которая как единый организм работает для достижения общих целей, поддерживает друг друга и искренне радуется успехам каждого сотрудника! Проработанная карьерная лестница (ты можешь стать Бизнес аналитиком по настройке и внедрению Битрикс24, где доход составляет от 100 000 в месяц, или руководителем отдела, так как у нас каждые 3-4 месяца формируются новые отделы).  Что конкретно нужно будет делать:   Отвечать на вопросы клиентов по работе в Битрикс24;   Вносить простые корректировки в работу портала (телефония, права доступа, бизнес процессы, добавление/увольнение сотрудников и т.д.);   Проверять работу сотрудников клиента на портале по чек-листам;   Проводить аудиты портала и предоставлять рекомендаций по его доработке;   Настраивать роботы и бизнес процессы на портале клиента.   Отчетность для клиента по выполненным задачам.   Ты подходишь нам, если у тебя есть:   высокий уровень самодисциплины и огромная любовь к систематизации   желание развиваться в направлении IT консалтинга   развитые коммуникативные навыки, т.к. нужно будет активно взаимодействовать с сотрудниками компаний которых ты будешь сопровождать.   организованное рабочее место (пк/ноутбук, гарнитура с микрофоном, интернет со скоростью не менее 2 Мбит/сек);   Эта работа позволит тебе:   Попробовать себя в роли IT специалиста в разных отраслях бизнеса.   Освоить с нуля новые навыки в перспективной профессии.   Работать в профессиональной команде, занимающей лидирующие позиции в своей отрасли.   Очень быстро вырасти по карьере при наличии стремления и задатков руководителя.   Если тебе отозвалось и заинтересовало все, что написано выше, и ты готов проверить себя — делай шаг, откликайся на вакансию. ВАЖНО! Напиши в сопроводительном письме заголовок с главной страницы нашего сайта и 3 причины, почему ты хочешь работать в нашей компании на этой должности. Ждем тебя на собеседовании!"
