name,id,premium,alternate_url,created_at,department.name,employer.name,area.name,professional_roles.name,employment.name,experience.name,salary,salary.from,salary.to,salary.currency,salary.gross,schedule.name,snippet.requirement,snippet.responsibility,working_time_modes.name,working_time_intervals.name,type.name,description.vacancy
QA engineer,88864771,False,https://hh.ru/vacancy/88864771,2023-10-31T09:53:19+0300,,Сравни,Москва,Тестировщик,Полная занятость,От 1 года до 3 лет,,,,,,Полный день,"Понимание особенностей работы и тестирования на платформах: Windows, MacOS, <highlighttext>iOS</highlighttext>, Android. Знания о HTTP(S), JSON, XML, RESTful, GitAction. ","Поддержка в актуальном состоянии парка тестовых устройств. Взаимодействие с <highlighttext>разработчиками</highlighttext>, дизайнерами, аналитиками и руководителями проекта. Работать в команде (Scrum) и...",,,Открытая,"Сравни – финансовый супермаркет, мы создаем удобные сервисы и рекомендации для того чтобы помочь людям принимать правильные решения при выборе банковских и страховых продуктов. Мы делаем интересный, публичный и открытый сервис с современной инфраструктурой. Мы не стартап, история бизнеса компании насчитывает 10 лет.В чем ценность вакансии:  У тебя будет возможность влиять на качество продукта, осуществляя контроль на всех этапах time-to-market; Прозрачная система онбординга, которая не заканчивается на испытательном сроке; Ты сможешь быть частью большой команды, взаимодействовать со смежными отделами и вносить вклад в развитие продукта;  Кто нам нужен:  QA с горящими глазами, готовый приложить к проекту все свои навыки и знания; Который “Умеет и практикует” хороший тест-дизайн и (в разумных рамках) креатив; Всегда готов аргументами поддержать обсуждение тех или иных решений; У нас есть отличная команда коллег - разработчиков, возможности для применения навыков, развития новых скиллов и всё необходимое для комфортной работы.  Задачи:  Анализировать требования и писать чек-листы / тест-кейсы; Проводить ручное тестирование backend’а, и front-end’а нашего приложения; Тестирование API; Проведение интеграционного тестирования; Анализировать требования задач и создавать тестовую документацию; Поддержка в актуальном состоянии парка тестовых устройств; Взаимодействие с разработчиками, дизайнерами, аналитиками и руководителями проекта; Работать в команде (Scrum) и постоянно улучшать процесс разработки.  Что мы хотим видеть в Вас:  Опыт работы коммерческий от года; Тестирование web-приложения (Frontend, Backend); UI/UX тестирование; Понимание особенностей работы и тестирования на платформах: Windows, MacOS, iOS, Android; Знания о HTTP(S), JSON, XML, RESTful, GitAction; Опыт работы с Postman, Charles Proxy, DevTools, плагины; Написание тестовой документации Allure, Confluence (тест-кейсы, чек-листы, инструкции); Описание и ведение дефектов в JIRA; Опыт работы с АБ тестами; Взаимодействие с командой разработки; Понимание клиент-серверной архитектуры.  Будет плюсом:  Опыт работы с мобильным приложением.  Мы предлагаем:  Работу в аккредитованной IT компании; ДМС, включая стоматологию, страхование жизни; 2 day-off в год; Каждые полгода проводим ревью всех сотрудников, составляем планы развития и даём возможность расти по карьерной лестнице; Пицца/пироги/суши каждую пятницу; Оплату посещения профильных конференций и курсов; Реферальная программа для сотрудников; Материальная помощь при рождении ребёнка +3 дня оплачиваемого отпуска; Ремоут-френдли. Доставим всё, что нужно для комфортной работы, и организуем встречи с командой онлайн и офлайн. Поддержку в обмене знаниями и идеями: поощряем выступления на митапах и помогаем с подготовкой докладов. Корпоративные мероприятия и тимбилдинги; Помощь с переездом для кандидатов из других городов (оплата билетов и первого месяц квартиры). "
QA Engineer / Тестировщик игр,88960301,False,https://hh.ru/vacancy/88960301,2023-11-01T17:52:35+0300,,DominiGames,Воронеж,Тестировщик,Полная занятость,Нет опыта,,18000.0,,RUR,False,Полный день,Большая любовь к PC / mobil играм. Внимательность к деталями. Системное мышление. Ориентация на качество и результат.,"Работа на платформах android, <highlighttext>iOS</highlighttext> (тестирование на нескольких платформах и форматах устройств). Тестирование проектов перед выходом патчей/апдейтов в сторы...",,,Открытая,"​​​​Привет! За 13 лет мы стали ведущим разработчиком премиум Hidden Object игр и входим в ТОП 3 мировых компаний в этом жанре. Команда DG сегодня — это более 200 ребят, создающих лучший игровой продукт среди казуальных игр. Мы продвигаем наши проекты на рынки Russia, USA, Europe, Asia. Сейчас мы в поиске QA. Начни свою карьеру в gamedev и твори историю мобильных игр! Чем предстоит заниматься:  Работа на платформах android, iOS (тестирование на нескольких платформах и форматах устройств); Тестирование проектов перед выходом патчей/апдейтов в сторы Google, Appstore.Тестирование игр на нескольких этапах выпуска:1. Этап приемки на предрелизном билде:- Функциональное тестирование проекта на приемке (полное прохождение)- Оформление багов (баг-трекинг) после первичного тестирования проекта- Ре-тест проекта на повторную приемку (полное прохождение)- Оформление багов/закрытие тасок после повторного тестирования проекта- Отчет по проекту по чек-листу2. Этап проверки на релизном билде:- Функциональное тестирование проекта на релизном билде (полное прохождение)- Отчет по проекту по чек-листу  Мы ждём от будущего коллеги: Понимание что такое:  Жизненный цикл программного обеспечения и роль QA-специалиста на каждом его этапе; Виды и уровни тестирования; Особенности тестирования мобильных приложений.  Будет плюсом:  Большая любовь к PC / mobil играм; Внимательность к деталями; Системное мышление; Ориентация на качество и результат.  Почему именно мы:   Возможность работать в офисе в г. Воронеж, в будущем возможен переход на удаленку;   Гибкое начало рабочего дня: с 7:00 до 11:00;  Стипендия на время обучения (trainee) - 18 000 на руки;  Оформление с первого дня;   Оплачиваемый отпуск, компенсация больничного;   Команда профессионалов, с которыми можно повышать свою экспертизу;   Фильмы на проекторе по вечерам, плойка.  "
Middle UX/UI Designer,89008324,False,https://hh.ru/vacancy/89008324,2023-11-02T15:54:48+0300,,Открытые решения,Москва,"Дизайнер, художник",Полная занятость,От 3 до 6 лет,,,,,,Полный день,"Знание гайдлайнов <highlighttext>iOS</highlighttext>, Android. Опыт составления CJM, UserFlow, MindMap. Владение базовым стеком: Figma, AI, PS, Tilda, Miro / Drawio / FigJam. ","Проектирование и разработка web, desktop и мобильных проектов (схемы, прототипы, компоненты, дизайн системы). Развитие и поддержка фирменного стиля компании (промоушен...",,,Открытая,"Open Solutions_ специализируется на заказной разработке веб-сервисов и мобильных приложений.Мы работаем с отечественными и мировыми брендами: МТС, БКС, X5, Ренессанс Кредит Банк, Ак Барс Банк, ЭР-Телеком, ВСК, ПЭК, ИНВИТРО, G&M, Samsung). С 2009 года реализовали больше 200 проектов для заказчиков из России, Европы и США. Наша компания входит в реестр аккредитованных Минцифры РФ IT-компаний.Среди них платформы для e-com, ПО для телекома и транспорта, разработка облачных технологий и различных интранет- и ERP-систем, а также систем биометрии, управления данными и безопасности.Количество сотрудников – более 170 человек, в офисах Москвы, Пензы и Казани. Команда Open Solutions — это опытные разработчики, тестировщики, креативные UI/UX-дизайнеры с международными профессиональными сертификатами. Приглашаем в команду Middle UX/UI Designer! Обязанности:  проектирование и разработка web, desktop и мобильных проектов (схемы, прототипы, компоненты, дизайн системы); развитие и поддержка фирменного стиля компании (промоушен, полиграфия, презентации); анализ пользовательского опыта.  Требования:  знание гайдлайнов iOS, Android; опыт составления CJM, UserFlow, MindMap; владение базовым стеком: Figma, AI, PS, Tilda, Miro / Drawio / FigJam; опыт разработки мобильных приложений, сайтов, интернет магазинов, веб сервисов, десктоп приложений; понимание логики построения интерфейсов; наличие портфолио (Dribbble / Behance)  Мы с радостью предложим:  гибридный/удаленный формат работы; пересмотр заработной платы 2 раза в год или чаще, а также премии по результатам работы; мощное железо, дополнительные мониторы и всё, что нужно для продуктивной работы; прозрачный рост внутри компании (четкие матрицы компетенций для каждого грейда и регулярный ассесмент); менторство, внутренние митапы / events; международные сертификации и профильное обучение за счет компании; техническая библиотека компании; корпоративное обучение английскому языку; хорошо отлаженные процессы, без ночных авралов и команда, с которой работать - удовольствие; отсутствие бюрократии, оформление доков через внутренний портал; паркинг; ДМС; корпоративный спорт или компенсация для удаленных сотрудников; чай, молоко и свежемолотый кофе для твоей бодрости каждый день; корпоративы и командные игры - ежеквартально или как душа попросит. "
Junior Unity3D developer,88571342,False,https://hh.ru/vacancy/88571342,2023-10-24T10:51:19+0300,,Emehanika Tech,Москва,"Программист, разработчик",Полная занятость,Нет опыта,,,,,,Удаленная работа,Знание Unity и умение с ним работать. Хорошее понимание C#. Знание сборки под <highlighttext>iOS</highlighttext>. Самостоятельность. HR этап. Тестовое задание. ,"Разрабатывать 2D, 3D игр на Unity3D (полный цикл). Тестировать, собирать с помощью сервера автосборки разработанные приложение. ",,,Открытая,"Мы - молодая, быстро-развивающаяся арбитражная команда в iGaming/Gambling под iOS.Мы расширяемся и ищем тебя - начинающего Unity разработчика для разработки игровых приложений на Unity3D! Что нужно делать:  Разрабатывать 2D, 3D игр на Unity3D (полный цикл); Тестировать, собирать с помощью сервера автосборки разработанные приложение; Загружать разработанные приложений в AppStore; Принимать участие в прохождении модерации приложений и их обновлении в AppStore.  Что мы ожидаем:  Знание Unity и умение с ним работать;  Хорошее понимание C#;   Знание сборки под iOS;   Самостоятельность.   Что мы предлагаем:   Удаленный формат работы (возможность работать из любой точки мира);   Гибкий график;   Размер заработной платы определяется по результатам собеседования и обсуждается индивидуально.   Этапы:  HR этап; Тестовое задание; Знакомство с командой. "
Middle QA Engineer (строго гибрид),88736759,False,https://hh.ru/vacancy/88736759,2023-10-27T11:09:22+0300,,АЙС,Москва,Другое,Полная занятость,От 1 года до 3 лет,,,300000.0,RUR,True,Полный день,...жизненного цикла приложений. Знание английского языка Intermediate и выше. Большим плюсом будет опыт в написании UI-тестов для <highlighttext>iOS</highlighttext> / Android.,"Тестировать различные интересные фичи <highlighttext>iOS</highlighttext>/Android/Web (определять что и как тестировать, выделять необходимый скоуп санити-тестов, формировать чек листы). ",,,Открытая,"Middle QA Engineer (строго гибрид) Кто мы? Кто мы? Персональный ассистент для путешественников. Если вы о нас не слышали, то только потому что мы завоевывали другие регионы. Теперь активничаем по всему миру. За 9 лет мы получили несколько важных наград (App of the Year - Apple, Best Travel App - Samsung 2019, Google Best Developers и др.), а iOS версия предустановлена на демонстрационных айфонах и айпадах во всех магазинах мира (будете пробегать мимо Restore, потыкайтесь) В 2020 запустили букинг авиабилетов и отелей. Большинство пользователей из US, но география стремительно расширяется. Планы у нас амбициозные, сотрудники профессиональные, условия классные. Но требований тоже достаточно, о них ниже. Наши ожидания:  Ты опытный, ответственный, способный самостоятельно работать, вовлеченный в общие процессы; Есть опыт тестирование мобильных и веб-приложений последние 2 года; Знаешь теорию тестирования и умеешь правильно применять знания на практике; Понимаешь особенности мобильных OS и жизненного цикла приложений; Знание английского языка Intermediate и выше; Большим плюсом будет опыт в написании UI-тестов для iOS / Android.  Чем предстоит заниматься (и почему будет интересно):  Тестировать различные интересные фичи iOS/Android/Web (определять что и как тестировать, выделять необходимый скоуп санити-тестов, формировать чек листы); Проводить регресс (определять необходимый объем регресса, работа с Testcaselab); Дефект-менеджмент (баг репорт флоу, работа с тикетами и досками в Jira); Участвовать в анализе требований (в том числе на этапе бизнес идеи); Тестировать весь продукт целиком (не будешь ограничен только одной платформой или одним конкретным функционалом); Напрямую влиять на продукт и его качество (твое мнение в работе и развитее приложения будет услышано); Автоматизация (если будет желание).  От нас:  Гибкий график, Гибрид; Свой офис метро Новокузнецкая; Устройство по ТК РФ; Менторство от опытных наставников; Прозрачная система развития и возможность карьерного роста; Классная команда: мы помогаем друг другу расти, проводим лекции и воркшопы, учимся и учим;*Эта вакансия подразумевает гибридный формат, если вы прочитали до этой строки, ждем вашего отклика. "
Мануальный тестировщик (middle),88843037,False,https://hh.ru/vacancy/88843037,2023-10-30T16:45:30+0300,,Айти Крон,Москва,Тестировщик,Полная занятость,От 3 до 6 лет,,100000.0,130000.0,RUR,False,Удаленная работа,Обязательно наличие: Компьютер: любая операционная система. 1 устройство android любое: c android не ниже 8 (26). 1 устройство <highlighttext>iOS</highlighttext> любое...,"Требуемый уровень: middle. - Тестировать продукты которые разрабатывает компания. - Сопровождать релизы. - Анализировать функционал на наличие слабых мест, контролировать исправление дефектов. - ",,,Открытая,"Компания IT CRON занимается заказной разработкой мобильных приложений, серверных и веб-решений. Мы работаем как по гибким методологиям, так и по каскадным моделям управления, начиная от этапа подготовки требований, заканчивая сопровождением. Формат работы: удаленкаЗанятость: полнаяТребуемый уровень: middleОпыт работы: от 3 лет. Не менее двух лет работы с мобильными приложениями. Что нужно делать:- Тестировать продукты которые разрабатывает компания;- Ставить задачи разработчикам;- Уметь доносить мысли;- Иметь усидчивость и дотошность в деталях;- Сопровождать релизы;- Анализировать функционал на наличие слабых мест, контролировать исправление дефектов;- Быть про-активным, предлагать и защищать свои идеи. Что мы ожидаем от кандидата:- Понимание принципов тестирования;- Написание тестовой документации понятных для всей команды тестировщиков;- Наличие устройств тестирования: iPhone & Android обязательно;- Уметь пользоваться инструментами: Postman, Swagger, cнифферами.- Понимание REST API;- Знание техник тест-дизайна;- Понимание любого языка разработки будет плюсом. Обязательно наличие:  компьютер: любая операционная система 1 устройство android любое: c android не ниже 8 (26) 1 устройство iOS любое : не старее модели iphone X  если устройств больше, то это +, но необязательно; Мы предлагаем:- Менторство старшими специалистами;- Внутреннее обучение сотрудников по разным направлениям;- Выделяем часть времени на самообразование и развитие;- Прозрачную систему мотивации и роста;- Планы по развитию и росту обсуждаются с каждым сотрудником. Этапы отбора:  Тестовое Собеседование     "
Senior product analyst (remote),89095743,False,https://hh.ru/vacancy/89095743,2023-11-06T13:51:48+0300,,Где мои дети,Москва,Продуктовый аналитик,Полная занятость,От 3 до 6 лет,,,,,,Полный день,"Работать с большим объёмом данных. Соответствовать нашим ценностям: Быть проактивным: иметь активную позицию, стремиться менять то, что можно улучшить. ","Исследовать данные на предмет «точек роста» продукта, генерировать гипотезы и давать продуктовые рекомендации. Проверять гипотезы посредством A/B-тестирования, заниматься...",,,Открытая,"Привет! Меня зовут Степа, я продакт менеджер компании ""Где мои дети"". Хочешь принять участие в создании лучшего семейного GPS-трекера в мире? Мы ищем продуктового аналитика, который будет влиять на развитие продукта, помогать команде принимать решения, основанные на данных, запускать A/B тесты, предлагать гипотезы и анализировать поведение пользователей. Где мои дети - сервис, который при помощи мобильного приложения на телефоне ребенка, помогает родителям по всему миру быть спокойнее за своих детей.   вторые в мире из family trackers. Наша цель - стать первым сервисом по количеству пользователей с точной, быстрой, актуальной геолокацией при низком энергопотреблении;   более 55 млн. скачиваний в App Store и Google Play, сервис локализован на 60 языков, наши покупатели живут в 170 странах мира;   более 4 млн MAU в сервисе;   мы стремимся, чтобы у каждого родителя на планете было установлено наше приложение!   Наша миссия - помогать родителям воспитывать счастливых и любознательных людей. Почему мы?  — можно работать удаленно из любой локации или офиса в Белграде, Санкт-Петербурге, Перми. Платим ЗП в рублях или долларах/евро (аккредитованная компания); — помогаем с переездом в Сербию; — мы за развитие! У нас есть матрица компетенций, составляем ИПР и дважды в год проводим оценку с возможностью вырасти в грейде. Тебе предстоит:  Исследовать данные на предмет «точек роста» продукта, генерировать гипотезы и давать продуктовые рекомендации; Проверять гипотезы посредством A/B-тестирования, заниматься автоматизацией их проведения; Покрывать продукт и его функции дашбордами; Покрывать аналитикой новую функциональность и валидировать её; Выявлять причины изменений в динамиках метрик; Работать с большим объёмом данных.  Кто в твоей команде: — продакт менеджер, бэкендер, ios, android разработчики, дизайнер, hr bp, QA; — в тех.направлении 5 аналитиков (от Junior уровня до Senior). Для хорошего старта, необходимо: Соответствовать нашим ценностям:   быть проактивным: иметь активную позицию, стремиться менять то, что можно улучшить;   усердно и много трудиться: мы любим много работать, работа для нас - это способ жить свою интересную жизнь и реализовывать себя, мы гордимся тем, что делаем и делаем это лучше других;   делать задачи в срок: все мы делаем одно дело и стремимся быть надежными коллегами, чтобы слаженно работать в команде.   Иметь следующие навыки:  способность ясно доносить идеи бизнесу и предвосхищать потенциальные вопросы; владение SQL (ClickHouse, MySQL) и Python; умение анализировать результаты A/B экспериментов и автоматизировать их проведение с помощью Python; понимание продуктовых метрик и концепции Unit-экономики;  То, что должно быть в каждой компании, но есть не у всех:   удаленная работа из любой точки мира (наши команды работают в часовом поясе Мск) либо комфортный офис в Петербурге, Перми, Сербии;   возможность выбрать ЗП в евро от иностранной компании, либо в рублях в России;   опционная программа;   подарки на годовщины в компании (IPhone, MacBook);   доп. день отпуска, если у тебя есть дети;   компенсация занятий спортом (абонементы в тренажерный зал, бассейн, танцы, бокс и другие спортивные секции), английским языком, занятий с психологом;   компенсации стоимости мед. услуг в любой локации;   компенсация при покупке оборудования для личного пользования.  "
Тестировщик ПО / QA Engineer,87737990,False,https://hh.ru/vacancy/87737990,2023-11-03T16:06:59+0300,,TrueConf,Москва,Тестировщик,Полная занятость,Нет опыта,,50000.0,,RUR,False,Полный день,Понимание методологии и принципов тестирования ПО. Знание общих принципов организации разработки ПО. Желание учиться чему-то новому каждый день. ,"Тестирования приложений для видеоконференцсвязи на различных платформах (Windows, Linux, MacOS, <highlighttext>iOS</highlighttext>, Android). Тестирование web-приложений. Кроссплатформенное и кроссбраузерное тестирование. ",,,Открытая,"Труконф – российский разработчик программного обеспечения, является экосистемой сервисов и продуктов видеоконференцсвязи для бизнеса, которые помогают оптимизировать процессы коммуникаций и взаимодействия как внутри каждой компании, так и для успешного и удобного взаимодействия с клиентами из любой точки.Наша компания является аккредитованной в Минцифры, что даёт возможность нашим сотрудникам воспользоваться правом на льготную ипотеку и правом подачи документов на отсрочку от мобилизации для профильных специалистов в соответствии с приказом Минцифры. На данный момент не рассматриваем кандидата на ""удаленку"", только работа в офисе. Чем предстоит заниматься:   Тестирования приложений для видеоконференцсвязи на различных платформах (Windows, Linux, MacOS, iOS, Android);   Тестирование web-приложений;   Кроссплатформенное и кроссбраузерное тестирование;   Фиксирование результатов тестов в системе баг-трекинга;   Мониторинг и анализ полученных результатов;   Верификация выполненных требований;   Написание тестовой документации и поддержка её в актуальном состоянии;   Работа со спецификациями.Основные требования:   Понимание методологии и принципов тестирования ПО;   Знание общих принципов организации разработки ПО;   Желание учиться чему-то новому каждый день;   Быть внимательным к мелочам;   Умение грамотно и чётко формулировать свои мысли в текст.На что обращаем внимание:   Опыт использования MacOS, Linux;   Навыки тестирования API, SD;   Навыки тестирования мобильных приложений и web;   Практика создания и работы с тестовой документацией;   Умение работать с системами тест-менеджмента и баг-трекинга.Мы предлагаем:   Стать частью компании, развивающей отечественный рынок видеоконференцсвязи;   Официальное трудоустройство в аккредитованную IT-компанию;   Уютный офис в шаговой доступности от м. Электрозаводская и м. Семёновская;   График 5/2 + возможность индивидуально согласовывать рабочие часы при необходимости;   Работа в комфортных условиях: персональное, оборудованное рабочее место;   Активный корпоративный отдых;   Спортзал на территории офиса;   Обучение ключевым навыкам;   Конкурентная заработная плата, определяемая по результатам собеседования.P.S.Уважаемые соискатели, в сопроводительном письме:1. Уточните, какие пункты из разделов ""требования"" и ""обращаем внимание"" к нашей вакансии совпадают с вашим стеком?2. Есть ли у вас опыт работы с тестированием коммерческих продуктов? Если да - расскажите каких именно.3. Укажите желаемый уровень ЗП.4. Готовы ли вы выполнить тестовое задание?5. Подходит ли вам график 5/2 в офисе на full time?  "
Junior++/Middle IOS Разработчик,88789242,False,https://hh.ru/vacancy/88789242,2023-10-29T14:33:07+0300,,Martin Grey LLC,Казань,"Программист, разработчик",Полная занятость,От 1 года до 3 лет,,100000.0,150000.0,RUR,False,Полный день,"Умение быстро верстать UI.  Знание <highlighttext>iOS</highlighttext> SDK, опыт работы с основными <highlighttext>iOS</highlighttext> фреймворками.  Понимание принципов управления памятью в <highlighttext>iOS</highlighttext>.  ","Мы в поисках Middle <highlighttext>iOS</highlighttext> <highlighttext>разработчика</highlighttext>, который будет вместе с нами разрабатывать приложения утилиты под <highlighttext>IOS</highlighttext> (VPN, photo/contacts cleaner...",Можно начинать работать после 16:00,,Открытая,"Мы в поисках Middle iOS разработчика, который будет вместе с нами разрабатывать приложения утилиты под IOS (VPN, photo/contacts cleaner, weather, Safari Content Blocker, task tracker, создание AI чатов ...)Наш стэк: Swift, UIKit, Alamofire, Kingfisher, SnapKit, архитектура MVVM-C, системы аналитик, Rest API, GIT Что нужно будет делать:● Разрабатывать приложения для iOSПожелания к опыту работы:● Опыт коммерческой разработки под iOS от 2 лет.● Умение быстро верстать UI● Знание iOS SDK, опыт работы с основными iOS фреймворками.● Понимание принципов управления памятью в iOS.● Уверенное владение Swift.● Опыт создания клиент-серверных приложений.● Понимание многопоточности и очередей.● Знание и понимание архитектур MVVM-C, MVC для iOS-приложений.● Опыт работы с git, понимание подхода GitHub Flow.● Понимание, что такое CI и зачем он нужен.● REST Api"
Junior++/Middle IOS Разработчик,88789240,False,https://hh.ru/vacancy/88789240,2023-10-29T14:33:07+0300,,Martin Grey LLC,Москва,"Программист, разработчик",Полная занятость,От 1 года до 3 лет,,100000.0,150000.0,RUR,False,Полный день,"Умение быстро верстать UI.  Знание <highlighttext>iOS</highlighttext> SDK, опыт работы с основными <highlighttext>iOS</highlighttext> фреймворками.  Понимание принципов управления памятью в <highlighttext>iOS</highlighttext>.  ","Мы в поисках Middle <highlighttext>iOS</highlighttext> <highlighttext>разработчика</highlighttext>, который будет вместе с нами разрабатывать приложения утилиты под <highlighttext>IOS</highlighttext> (VPN, photo/contacts cleaner...",Можно начинать работать после 16:00,,Открытая,"Мы в поисках Middle iOS разработчика, который будет вместе с нами разрабатывать приложения утилиты под IOS (VPN, photo/contacts cleaner, weather, Safari Content Blocker, task tracker, создание AI чатов ...)Наш стэк: Swift, UIKit, Alamofire, Kingfisher, SnapKit, архитектура MVVM-C, системы аналитик, Rest API, GIT Что нужно будет делать:● Разрабатывать приложения для iOSПожелания к опыту работы:● Опыт коммерческой разработки под iOS от 2 лет.● Умение быстро верстать UI● Знание iOS SDK, опыт работы с основными iOS фреймворками.● Понимание принципов управления памятью в iOS.● Уверенное владение Swift.● Опыт создания клиент-серверных приложений.● Понимание многопоточности и очередей.● Знание и понимание архитектур MVVM-C, MVC для iOS-приложений.● Опыт работы с git, понимание подхода GitHub Flow.● Понимание, что такое CI и зачем он нужен.● REST Api"
