name,id,premium,alternate_url,created_at,department.name,employer.name,area.name,professional_roles.name,employment.name,experience.name,salary,salary.from,salary.to,salary.currency,salary.gross,schedule.name,snippet.requirement,snippet.responsibility,working_time_modes.name,working_time_intervals.name,type.name,description.vacancy
Junior Data Scientist\Junior Data Engineer (Стажер),89292227,False,https://hh.ru/vacancy/89292227,2023-11-10T10:29:08+0300,,"САТЕЛ, Группа компаний",Волгоград,Другое,Стажировка,Нет опыта,,,,,,Полный день,"1. Классические методы: Погрузимся в основы, работая с преобразованием Хафа, морфологическими операциями, гистограммами и методом связанных компонент на бинарных изображениях. - ","2. Нейронные сети и детекторы: Сделаем акцент на построении, обучении нейронных сетей и работе с детекторами, используя библиотеку PyTorch.",,,Открытая,"Стажировка по Computer Vision в VizorLabs Дата начала: 20 ноября 2023 годаПродолжительность: 4 месяцаКомпания: Vizorlabs - лидер в решениях видеоаналитики для промышленной безопасности с использованием компьютерного зрения. Описание:Присоединяйтесь к нам для увлекательной стажировки, наполненной обучением и практикой в области Computer Vision! Вас ждут серии задач, направленных на оттачивание навыков и углубление знаний в ключевых областях компьютерного зрения. 1. Классические методы: Погрузимся в основы, работая с преобразованием Хафа, морфологическими операциями, гистограммами и методом связанных компонент на бинарных изображениях. 2. Нейронные сети и детекторы: Сделаем акцент на построении, обучении нейронных сетей и работе с детекторами, используя библиотеку PyTorch. Формат: Сначала студенты решают задачи, после чего мы разбираем каждую из них, представляя возможные решения и отвечая на все ваши вопросы. ❓ Цель: Стажировка нацелена на учебный процесс, исключая рутинные рабочие задачи. Вы будете работать над упражнениями по DS и CV, максимально приближенными к реальным кейсам из практики. Требования:- Базовое владение Python- Опыт работы с Google Colab и Jupyter Notebook- Пройти собеседование по алгоритмам на Python, где нужно написать код в Google Colab. Результат:Стажировка не оплачиваемая, но для самых активных и успешных участников открываются возможности для трудоустройства на позиции Junior Data Scientist, Junior Machine Learning Engineer, и Junior Data Engineer с зарплатой 80-120 тыс. рублей net, возможностью удаленной работы, гибким графиком или на половину ставки. Мы приветствуем активность, готовность учиться и задавать вопросы."
Junior Data Scientist (Стажер),89413886,False,https://hh.ru/vacancy/89413886,2023-11-14T09:36:13+0300,,Центр финансовых технологий,Санкт-Петербург,Дата-сайентист,Стажировка,Нет опыта,,,,,,Гибкий график,Иметь навыки программирования на Python.,За время участия в проекте ты. Создашь пайплайн по обучению модели. Пройдёшь весь путь от получения данных из различных источников...,,,Открытая,"Приглашаем начинающих специалистов, которые хотят начать карьеру в команде ML, в бесплатный проект ШИФТ. ШИФТ — это проект ЦФТ для тех, кто хочет развиваться в ИТ и финтехе. Здесь ты за 2-3 месяца получишь комплексные знания в рамках выбранного направления от экспертов ЦФТ. Участие в проекте бесплатное, поскольку мы нацелены на подготовку наших будущих специалистов. За время участия в проекте ты  получишь действительно полезные теоретические материалы и закрепишь их на практике создашь пайплайн по обучению модели пройдёшь весь путь от получения данных из различных источников до выкатки модели в продакшн станешь частью сообщества, будешь учиться под руководством признанных финтех-экспертов получишь комплексные знания, которые тут же сможешь применить на практике защитишь свой проект  Лучшие выпускники получат оффер в команду ЦФТ – будь готов(а) работать 40 часов в неделю.   Чтобы стать участником, нужно  подать заявку, откликнувшись на эту вакансию выполнить тестовое задание и записать видеовизитку – это поможет нам оценить твои hard и soft skills иметь навыки программирования на Python знать с библиотеками анализа данных будет плюсом участие в ml-соревнованиях  Старт подготовки – март 2024 Продолжительность – 2 месяца После регистрации отправим письмо на почту с подробной информацией – на всякий случай проверяй все папки. Ждём твою заявку – набор уже открыт!  "
Junior Data Scientist (Стажер),89413885,False,https://hh.ru/vacancy/89413885,2023-11-14T09:36:13+0300,,Центр финансовых технологий,Екатеринбург,Дата-сайентист,Стажировка,Нет опыта,,,,,,Гибкий график,Иметь навыки программирования на Python.,За время участия в проекте ты. Создашь пайплайн по обучению модели. Пройдёшь весь путь от получения данных из различных источников...,,,Открытая,"Приглашаем начинающих специалистов, которые хотят начать карьеру в команде ML, в бесплатный проект ШИФТ. ШИФТ — это проект ЦФТ для тех, кто хочет развиваться в ИТ и финтехе. Здесь ты за 2-3 месяца получишь комплексные знания в рамках выбранного направления от экспертов ЦФТ. Участие в проекте бесплатное, поскольку мы нацелены на подготовку наших будущих специалистов. За время участия в проекте ты  получишь действительно полезные теоретические материалы и закрепишь их на практике создашь пайплайн по обучению модели пройдёшь весь путь от получения данных из различных источников до выкатки модели в продакшн станешь частью сообщества, будешь учиться под руководством признанных финтех-экспертов получишь комплексные знания, которые тут же сможешь применить на практике защитишь свой проект  Лучшие выпускники получат оффер в команду ЦФТ – будь готов(а) работать 40 часов в неделю.   Чтобы стать участником, нужно  подать заявку, откликнувшись на эту вакансию выполнить тестовое задание и записать видеовизитку – это поможет нам оценить твои hard и soft skills иметь навыки программирования на Python знать с библиотеками анализа данных будет плюсом участие в ml-соревнованиях  Старт подготовки – март 2024 Продолжительность – 2 месяца После регистрации отправим письмо на почту с подробной информацией – на всякий случай проверяй все папки. Ждём твою заявку – набор уже открыт!  "
Deep Learning/Computer Vision Engineer,89316086,False,https://hh.ru/vacancy/89316086,2023-11-10T16:09:19+0300,,ISS,Москва,"Программист, разработчик",Полная занятость,Нет опыта,,,,,,Полный день,Понимание принципов работы сверточных нейронных сетей. Навыки быстрого разбора англоязычных статей по нейросетевой тематике. C++: навыки быстрого разбора кода по...,Компания ISS – Интеллектуальные Системы Безопасности — один из крупнейших отечественных ИТ-вендоров в области разработки аппаратно-программных решений на базе видео...,,,Открытая,"Компания ISS – Интеллектуальные Системы Безопасности — один из крупнейших отечественных ИТ-вендоров в области разработки аппаратно-программных решений на базе видео для создания комплексных систем безопасности и автоматизации бизнес-процессов. Мы помогаем сделать окружающий мир более безопасным и продуктивным с помощью современных технологий. Быть членом нашей команды — значит использовать силу собственного интеллекта для решения ярких нестандартных задач, открывающих новые возможности в профессиональном и личностном развитии. Факты о компании:На ИТ-рынке c 1996 года Интеграционная платформа видеоменеджмента SecurOS, являющаяся основой технологического портфеля ISS, включена в Единый реестр российского ПО 250 000+ успешных внедрений 3 000 000+ камер под управлением SecurOS 200+ сотрудников Кого мы ищем: Лаборатория нейросетевых технологий ищет специалиста по применению deep learning в компьютерном зрении.Мы заниаемся разработкой алгоритмов решения задач видеоаналитики преимущественно нейросетевыми методами.   Требования:  Математическая подготовка. Понимание принципов работы сверточных нейронных сетей. Навыки быстрого разбора англоязычных статей по нейросетевой тематике. C++: навыки быстрого разбора кода по тематике нейросетей, общие навыки программирования. Python/Lua/MATLAB (хотя бы один на выбор): навыки быстрого разбора кода по тематике нейросетей, общие навыки программирования. Знание хотя бы одного из нейросетевых фреймворков на выбор: Caffe, TensorFlow, Caffe2, DarkNet, Torch/PyTorch. Знание каких-то из современных архитектур классификации изображений: ResNet, Inception, DenseNet, VGG и т.д. Знание каких-то из современных архитектур детектирования/сегментации: SSD, YOLO, Faster R-CNN, R-FCN, Mask R-CNN, PSPNet, DeepLab и т.д. Умение работать в команде  Будет плюсом:  Ориентированность в алгоритмах классического компьютерного зрения для работы с 2D-изображениями (фильтрация, особые точки, сегментация, склейка и т.п.). Навыки интеграции нейросетей в промышленные решения Опыт работы хотя бы с одной из сред запуска обученных моделей: OpenVINO, cv::dnn, TensorRT  Условия:  Работа в успешной компании над продуктом мирового уровня Дружная и надежная команда, готовая всегда поддержать словом и делом Современные мощные компьютеры График работы на выбор: фул-тайм офис / гибрид / 100% удаленно Оформление по ТК — 100% белая зарплата, оплачиваемый больничный, отпуск Широкие возможности для дополнительного обучения и профессионального развития Оплата обедов ДМС Уютное рабочее место и традиционные «плюшки»: чай, кофе, фрукты и, конечно же, печеньки  Присоединяйся к ISS — создадим будущее рынка видеоаналитики вместе!"
Начинающий Data Scientist (Computer Vision),88796932,False,https://hh.ru/vacancy/88796932,2023-10-30T06:38:48+0300,,ДИБИЭЙ,Барнаул,Дата-сайентист,Полная занятость,Нет опыта,,40000.0,,RUR,False,Удаленная работа,"Понимание процессов в областях Machine Learning, Deep Learning. Опыт в областях Computer Vision, Image Recognition. Знание и опыт использования ML...",Растрескивание деревянной опоры и траверсы. Загнивание деревянной опоры и траверсы. Отсутствие вязки. Оголение арматуры.,,,Открытая,"DBA – аккредитованная IT-компания, системный интегратор и разработчик мультифункциональных программных решений с использованием цифровых технологий для автоматизации сложных и нелинейных бизнес-процессов.У нас несколько направлений работы. Один из них программный продукт – СИДЭ – система интеллектуальной диагностики энергообъектов. В связи с развитием отдела ищем специалиста, который займется обучением нейросети распознаванию дефектов с помощью технологии «компьютерное зрение». Требования к кандидату:  Понимание процессов в областях Machine Learning, Deep Learning; Опыт в областях Computer Vision, Image Recognition; Знание и опыт использования ML-фреймворков: pytorch; torchvision, mmlab (mmdetection, mmsegmentation и т.д.); Знание Python; Опыт работы с Git.  Будет плюсом:  Профильное техническое/математическое образование; Знание tensorflow, keras, jax; Английский язык на уровне чтения технической литературы; Опыт решения задач классификации и детектирования/сегментации с помощью CNN; Понимание метрик эффективности моделей машинного обучения; Знание и понимание классических структур данных и алгоритмов их обработки.  Основная задача доработать существующие модели поиска дефектов:  растрескивание деревянной опоры и траверсы, загнивание деревянной опоры и траверсы, отсутствие вязки, оголение арматуры.  Что предлагаем:  Оформление по ТК, стабильная белая зарплата; График работы: 5/2, с 8:00 до 17:00, в пятницу с 8:00 до 16:00 – готовы предложить гибкое начало рабочего дня; Удаленный формат работы; Возможность обучения, курсы повышения квалификации; Перспективы профессионального и зарплатного роста.  Почему нас стоит выбрать: мы внимательны к каждому сотруднику – помогаем адаптироваться и создаем комфортные условия работы. А ещё мы делаем продукты, которые приносят пользу бизнесу и делают этот мир чуточку проще.  "
Стажер ML-инженер,88953852,False,https://hh.ru/vacancy/88953852,2023-11-01T16:20:04+0300,,Samokat.tech,Москва,Дата-сайентист,Стажировка,Нет опыта,,,,,,Удаленная работа,Знание Python. Знание SQL. Базовые знания ML. Знание AirFlow будет вашим преимуществом. Инициативность и самостоятельность.,"Разрабатывать, поддерживать и оптимизировать (BI) Дашборда контроля операционных метрик продукта планирования смен. Оптимизировать работу дашборда. Разрабатывать и поддерживать процессы Airflow. ",,,Открытая,"Привет!На связи продуктово-технологическая команда Samokat.tech. Мы начинаем поиски стажёра в проект машинного обучения операционных продуктов! Команда занимается оптимизацией выходов курьеров на смены, основываясь на прогнозы заказов. Мы уже оптимизировала более 1500 складов и двигаемся дальше! Используемый стек:  Python; SQL; NumPy; Pandas; AirFlow; Streamlit; Scikit-learn;  Чем предстоит заниматься:   разрабатывать, поддерживать и оптимизировать (BI) Дашборда контроля операционных метрик продукта планирования смен;  оптимизировать работу дашборда; разрабатывать и поддерживать процессы Airflow; осуществлять мониторинг и первичный анализ инцидентов;  Ожидания от будущего коллеги:   знание Python;   знание SQL;   базовые знания ML;   знание AirFlow будет вашим преимуществом;  инициативность и самостоятельность;  Что готовы предложить:  оплачиваемую стажировку 6 месяцев, с возможностью оформление в штат компании; уверенность и спокойствие: оформляем официально, даже на время стажировки, платим в белую; SkyEng, WorldClass, Skillbox, BestBenefits и множество скидок от других партнеров после прохождения стажировки; формат работы: полная удалёнка, гибрид или офис в Москве/ СПб - выбирай, как тебе комфортнее; ДМС со стоматологией и программу заботы о сотрудниках после шести месяцев работы; ипотека: льготные программы кредитования, как для ИТ-специалистов, так и корпоративные программы; высокопроизводительная техника: Lenovo, HP, DELL ноутбуки в топовых комплектациях.  Мы развиваем комьюнити по функциональным направлениям, проводим внутренние митапы. Участвуем во внешних конференциях – ходим послушать, рассказать о своём опыте и пообщаться. Делаем собственное внешнее мероприятие Samokat Tech Meetup. Помогаем нашим ребятам делиться опытом друг с другом и с внешним сообществом: готовим доклады, пишем статьи, публикуем опенсорс, дружим с экспертами и соседями по индустрии и многое другое! Если ты открыт для новых карьерных возможностей - то давай знакомиться. Процесс рассмотрения кандидатов: Интервью с hr - финальное интервью - оффер!В сопроводительном письме обязательно расскажи о себе!"
Machine learning engineer,89011365,False,https://hh.ru/vacancy/89011365,2023-11-02T16:40:05+0300,,ЭНИ.РАН,Москва,Аналитик,Полная занятость,От 1 года до 3 лет,,,,,,Удаленная работа,"Наличие продуктового опыта: от ресерча до запуска в прод. Глубокие знания в областях Machine Learning, Deep Learning. Опыт в сферах...","Создавать продукт, который защищает пользователей от вредоносного ПО. Обрабатывать миллионы событий и строить прогнозы. Обнаруживать ранее неизвестные угрозы. ",,,Открытая,"ANY.RUN - международная продуктовая команда. Наш сервис - интерактивная песочница для анализа подозрительного контента. Мы продукт #1 в мире, которым пользуются самые известные крупные компании: IBM, Canon, Hewlett-Packard, Renault, GAP, McAfee и много других:) Идеальная вакансия для тебя, если хочешь:  создавать продукт, который защищает пользователей от вредоносного ПО; обрабатывать миллионы событий и строить прогнозы; обнаруживать ранее неизвестные угрозы; работать в аккредитованной компании по кибербезопасности.  Требования:  Наличие продуктового опыта: от ресерча до запуска в прод; Глубокие знания в областях Machine Learning, Deep Learning; Опыт в сферах Computer Vision, Image Recognition; Опыт в сфере работы с большими данными; Знание принципов работы моделей для обработки текста; Знание Python (в т.ч. multithreading) и соответствующих библиотек: pytorch, numpy, scipy, sklearn, panda, PyTest и т.д.; Опыт работы с Linux и Docker;  Будут плюсом:  Наличие научных статей по итогам конференций и/или в журналах; Ученая степень физико-математических или технических наук; Наличие сертификатов пройденных курсов по ML и анализу данных.  Что по условиям:   Коллектив увлеченных профессионалов - твое мнение всегда будет услышано, а роль в проекте весома;   Конкурентную ЗП, которая напрямую зависит от твоих способностей и растет вместе с тобой, бонусы-премии по результатам работы;   Полный рабочий день 5/2, полностью удаленно (страна не имеет значения), или всегда рады будем повидаться в офисе в Ульяновске.   Apple MacBook или быстрое железо для адептов Linux;   ДМС со стоматологией, возможность посещения профессиональных конференций и обучения за счет компании, компенсация затрат на спорт и психотерапию;   Атмосферу стартапа без бюрократии и другой ерунды.   С нетерпением ждем тебя в команде ANY.RUN!"
Data Scientist,89267984,False,https://hh.ru/vacancy/89267984,2023-11-09T16:02:32+0300,,Ventra IT Solutions,Москва,Дата-сайентист,Полная занятость,От 1 года до 3 лет,,,,,,Полный день,Умение презентовать полученные в ходе анализа результаты. Опыт работы на позиции <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext> >1 года (работа в FMCG или Телеком...,Моделирование и подготовка данных для реализации аналитических задач. Дизайн и проведение a/b тестов. Работа с Data Engineer и ML...,,,Открытая,"Обязанности: В рамках международной FMCG- компании специалист по Data Science будет заниматься такими задачами:  Моделирование и подготовка данных для реализации аналитических задач; Дизайн и проведение a/b тестов; Работа с Data Engineer и ML-специалистом для развития индустриализированных аналитических решений.  Требования:  Опыт использования Python от 1-го года (библиотеки: Pandas, NumPy, Scikit-Learn, PyTorch, TensorFlow); Опыт работы с Spark, Pyspark; Базовые знания SQL; Понимание методов машинного обучения; Опыт автоматизации пайплайнов данных (Data Factory, Airflow) и базовые навыки DevOps (Docker, Kubernetes); Опыт проработки задачи от бизнес-постановки до математической формулировки и реализации в коде; Умение презентовать полученные в ходе анализа результаты; Опыт работы на позиции Data Scientist >1 года (работа в FMCG или Телеком-компании будет преимуществом).  Условия:  Возможность работы в офисе в Москве, гибридно или удаленно; Официальное трудоустройство в соответствии с ТК РФ; Предоставление корпоративной техники; Поддержка в профессиональном росте. "
ML - инженер/Дата - аналитик,89316232,False,https://hh.ru/vacancy/89316232,2023-11-10T16:10:31+0300,,Dinord,Москва,Аналитик,Полная занятость,От 1 года до 3 лет,,,,,,Полный день,"Знание языка Python на необходимом, для коммерческой разработки, уровне. Знание библиотек Pandas, NumPy, Plotly (или аналоги), Statsmodels, Dask (последнее опционально). ",Агрегирование и обеспечение качества данных для обучения моделей. Разработка ML-моделей для прогнозирования потребления виртуальных ресурсов в различной конфигурации (данные...,,,Открытая,"Описание проекта:Система финансового мониторинга и прогнозирования использования виртуальных ресурсов. Позволяет ИТ-подразделениям крупных компаний отслеживать потребление ресурсов и затраты на сервисы и приложения в облачных и гетерогенных средах.Задачи:  Агрегирование и обеспечение качества данных для обучения моделей; Разработка ML-моделей для прогнозирования потребления виртуальных ресурсов в различной конфигурации (данные по одному потребителю ресурсов, сгруппированные данные, данные с учетом дополнительных воздействующих параметров и т.п.); Мониторинг и поддержка качества моделей; Взаимодействие с бэкенд-разработчиками при построении API сервиса прогнозирования.  Требования:  Знание языка Python на необходимом, для коммерческой разработки, уровне; Знание библиотек Pandas, NumPy, Plotly (или аналоги), Statsmodels, Dask (последнее опционально); Полноценное владение навыками в SQL (сложные запросы, создание таблиц и представлений, индексы); Опыт коммерческой разработки моделей машинного обучения не менее 2-х лет. Знание математической статистики, теории вероятности и линейной алгебры; Умение предлагать архитектурные ML-решения на основе имеющихся бизнес-требований; Понимание основ CI/CD; Базовые знания Docker; Полноценные навыки работы с Git (понимание процессов Gitflow в том числе). Умение работать с clickhouse как дополнительный плюс; Базовые знания FastAPI как дополнительный плюс.  Условия:  Формат работы: удаленная работа;  Оформление по ТК РФ(опционально: штат, ИП, самозанятый).    "
Junior Data Scientist (Стажер),89413880,False,https://hh.ru/vacancy/89413880,2023-11-14T09:36:13+0300,,Центр финансовых технологий,Новосибирск,Дата-сайентист,Стажировка,Нет опыта,,,,,,Гибкий график,Иметь навыки программирования на Python.,За время участия в проекте ты. Создашь пайплайн по обучению модели. Пройдёшь весь путь от получения данных из различных источников...,,,Открытая,"Приглашаем начинающих специалистов, которые хотят начать карьеру в команде ML, в бесплатный проект ШИФТ. ШИФТ — это проект ЦФТ для тех, кто хочет развиваться в ИТ и финтехе. Здесь ты за 2-3 месяца получишь комплексные знания в рамках выбранного направления от экспертов ЦФТ. Участие в проекте бесплатное, поскольку мы нацелены на подготовку наших будущих специалистов. За время участия в проекте ты  получишь действительно полезные теоретические материалы и закрепишь их на практике создашь пайплайн по обучению модели пройдёшь весь путь от получения данных из различных источников до выкатки модели в продакшн станешь частью сообщества, будешь учиться под руководством признанных финтех-экспертов получишь комплексные знания, которые тут же сможешь применить на практике защитишь свой проект  Лучшие выпускники получат оффер в команду ЦФТ – будь готов(а) работать 40 часов в неделю.   Чтобы стать участником, нужно  подать заявку, откликнувшись на эту вакансию выполнить тестовое задание и записать видеовизитку – это поможет нам оценить твои hard и soft skills иметь навыки программирования на Python знать с библиотеками анализа данных будет плюсом участие в ml-соревнованиях  Старт подготовки – март 2024 Продолжительность – 2 месяца После регистрации отправим письмо на почту с подробной информацией – на всякий случай проверяй все папки. Ждём твою заявку – набор уже открыт!  "
