name,id,premium,alternate_url,created_at,department.name,employer.name,area.name,professional_roles.name,employment.name,experience.name,salary,salary.from,salary.to,salary.currency,salary.gross,schedule.name,snippet.requirement,snippet.responsibility,working_time_modes.name,working_time_intervals.name,type.name,description.vacancy
"Data scientist, Pyhon AI(Pytorch) junior",90142298,False,https://hh.ru/vacancy/90142298,2023-11-30T11:44:05+0300,,БТ21,Казань,Дата-сайентист,Частичная занятость,Нет опыта,,,10000.0,RUR,False,Удаленная работа,"Хороший вариант, чтобы потом использовать это в курсовой или дипломной работе или показать, как практический опыт при устройстве в крупные...",,,,Открытая,"Обязанности: Вакансия с чисто символической оплатой(10тыс руб/мес). Сделана для получения практического опыта на реальных данных. Хороший вариант, чтобы потом использовать это в курсовой или дипломной работе или показать, как практический опыт при устройстве в крупные компании. Требования:​​​​​​​ Знание фреймворка Pytorch Понимание, как работают Transformer, BERT, GPT и прочие новые архитектуры Желание обучаться и экспериментировать Желательно знание SQL - но не обязательно Условия: ​​​​​​​Удаленная работа Свободный график работы"
Junior Data Scientist,90947346,False,https://hh.ru/vacancy/90947346,2023-12-22T15:57:52+0300,,Бюро кредитных историй Скоринг Бюро,Москва,Дата-сайентист,Полная занятость,Нет опыта,,,,,,Полный день,Высшее техническое образование обязательно! Понимание математической статистики и теории вероятностей. Аналитический склад ума. Желание разбираться в данных. Опыт аналитической работы...,"Создание, обработка и распространение кредитных историй и отчетов по заемщикам. Защита конфиденциальной информации. Предоставление аналитических услуг для банков и компаний. ",,,Открытая,"Бюро кредитных историй Cкоринг Бюро является крупнейшим российским БКИ. Наша компания предоставляет финансовым организациям в Российской Федерации услуги по управлению рисками, аналитики и предотвращению мошенничества, которые необходимы для развития бизнеса, такие как:  Создание, обработка и распространение кредитных историй и отчетов по заемщикам Защита конфиденциальной информации Предоставление аналитических услуг для банков и компаний  Обязанности:  Разрабатывать новые и улучшать существующие модели для предсказания мошенничества по данным кредитных заявок Писать и оптимизировать sql-скрипты для вычисления моделей и анализа качества данных Создавать и поддерживать аналитические отчеты  Требования:  Высшее техническое образование обязательно!  Понимание математической статистики и теории вероятностей Аналитический склад ума Желание разбираться в данных  Будет полюсом:  Опыт аналитической работы с использованием языка Python\SAS. Знание ML Знание PL/SQL, опыт работы с Oracle, умение оптимизировать запросы Опыт работы - построения моделей в банковской сфере  Условия:  трудоустройство по ТК РФ, бессрочный трудовой договор; годовой бонус; возможна полная удаленка. ежегодная индексация заработной платы; ДМС со стоматологией (софинансирование ДМС для супругов и детей); страхование жизни от несчастных случаев; Фитнес в нашем БЦ (софинансирование); возможность изучения английского языка за счёт компании ; "
Data Scientist (Junior/middle),90940984,False,https://hh.ru/vacancy/90940984,2023-12-22T13:20:10+0300,,Группа Компаний ОЗНА,Уфа,Дата-сайентист,Полная занятость,От 1 года до 3 лет,,,,,,Полный день,"ЗАДАЧИ И ЗНАНИЯ: Математическая физика. Методы оптимизации. - Знаний в области математического анализа, теории вероятности, оптимизации, численных методов. - Экспертизу специалиста по...",Математическая статистика. Анализ данных.,,,Открытая,"ЗАДАЧИ И ЗНАНИЯ:  Математическая статистика Математическая физика Методы оптимизации Анализ данных Машинное обучение Python / C++    МЫ ОЖИДАЕМ: - Знаний в области математического анализа, теории вероятности, оптимизации, численных методов. - Экспертизу специалиста по прочностным расчетам со следующими компетенциями: - Знание основ сопромата - Опыт работы в FEA пакете (Ansys, Nastran, SolidWorks Simulation и т.д.) МЫ ПРЕДЛАГАЕМ:   оформление по ТК РФ, своевременная заработная плата (оклад+ ежемесячная премия, мотивация по итогам проекта)   социальную поддержку сотрудников: программа Добровольного медицинского страхования, материальная помощь в различных жизненных ситуациях   возможность выбора гибридного графика работы, современный офис   корпоративное обучение и повышение квалификации за счет компании   поддержку идей и инициатив   поддержку спортивных инициатив – регулярные тренировки по футболу, волейболу, йоге и плаванию    "
Machine learning Engineer (remote),91147267,False,https://hh.ru/vacancy/91147267,2023-12-29T14:57:31+0300,,Инфотек,Москва,"Программист, разработчик",Полная занятость,От 1 года до 3 лет,,40000.0,,RUR,False,Удаленная работа,проектные данные. - математическое образование. - владения linux.,Зона ответственности: - классификаторы на проектах. - контроль качества модели. - анализ данных. - формирование гипотез возникновения ошибок. - основные метрики расчета точности классификатора/детектора. - ,,,Открытая,"Итак, сначала самое важное о нас:- У нас аккредитованная IT компания.- Мы создали инновационный продукт распознавания на базе ИИ, уже несколько лет им пользуются крупные FMCG компании в РФ, СНГ, ЮВА и Европе.- Наша сплоченная многонациональная команда успешно работает удаленно в нескольких тайм-зонах. У нас реально сильная команда разработчиков, в которой выросло много джунов! Зона ответственности:- удаленная машина- проектные данные- классификаторы на проектах Обязанности:- обучение нейронных сетей- контроль качества модели- анализ данных- формирование гипотез возникновения ошибок Требования:- математическое образование- владения linux- python 2.7+- устройство нейронных сетей- основные метрики расчета точности классификатора/детектора- статистика и аналитика- фреймворк pytorch/caffe/cv2/yolo Условия:- нам интересны люди, нацеленные на результат, о размере дохода договоримся на собеседовании- Официальное оформление и белая зарплата- Гибкий график (главное результат и продуктивное взаимодействие с командой)- Возможность работать удаленно (в Москву можно приезжать лишь на корпоративы)- Онбординг и обучение внутри компании- Дружелюбная атмосфера, основанная на взаимопонимании и уважении уникальности каждого Мы хотим стать абсолютным лидером глобального рынка с передовым продуктом и будет замечательно, если наши стремления совпадут.Так что, если вас такие планы тоже зажигают, откликайтесь и становитесь частью нашей сплоченной и сильной команды!"
Специалист по нейросетям (Computer Vision/ML Engineer),90954412,False,https://hh.ru/vacancy/90954412,2023-12-23T08:16:43+0300,,SARTO REALE,Москва,"Программист, разработчик",Полная занятость,Нет опыта,,,,,,Полный день,Опыт работы с Python от 1 года. PyTorch или TensorFlow от 1 года. Знаком со ахритектурой сверточных нейронных сетей (CNN...,"Разработка и оптимизация алгоритмов компьютерного зрения для обработки изображений (распознавание цвета кожи, цвета глаз и цвета волос на основе портретных...",,,Открытая,"SARTO REALE - Первый эко-бренд премиальной мужской одежды в России с самой передовой в мире «бирюзовой» системой управления бизнесом! За 17 лет работы в РФ, бренд стал эталоном качества для искушенного покупателя и занимает лидирующие позиции в fashion-индустрии. Каждая вещь в коллекции бренда уникальна, сродни произведению искусства! Миссия SARTO REALE - через уникальную одежду, благодаря ответственному отношению к своему делу, человеку, природе, постоянно увеличивать число единомышленников - почитателей бренда, помогая сформировать его успешное и счастливое будущее на здоровой планете! Главные преимущества SARTO REALE для Вас:  Подчинение напрямую Директору информационных технологий Возможность реализации профессионального потенциала с брендом премиального сегмента; Постоянное повышение своих профессиональных навыков, используя передовые системы обучения за наш счет; Максимальная лояльность высшего руководства компании; Работа в сплоченном коллективе, где ценится поддержка и каждый член команды; Возможность ощутить себя частью команды, которая делает мир экологичнее и чище.  Основные Ваши задачи:   Разработка и оптимизация алгоритмов компьютерного зрения для обработки изображений (распознавание цвета кожи, цвета глаз и цвета волос на основе портретных фотографий)   Работа с наборами данных для обучения и тестирования моделей, разметка изображений   Разработка алгоритмов рекомендаций по сопутствующим, подходящим и похожим товарам   Обучение нейросетей анализу и прогнозированию продаж на основе исторических данных   Отслеживание трендов в использовании нейросетей   Что мы ждем от Вас:  Опыт работы с Python от 1 года PyTorch или TensorFlow от 1 года  Знаком со ахритектурой сверточных нейронных сетей (CNN) и архитектурой долгой краткосрочной памяти LSTM   Keras от 1 года   Numpy от 1 года   Так же преимуществом будет сертификат о прохождении курсов, связанных с нейросетями.   Мы, одна из первых компаний в мире, которые отказались от использования натурального меха. Мы не убиваем животных, а, наоборот, отдаем предпочтение производителям шерстяных тканей, где заботятся о животных и создают комфортные условия для их жизни: не используют на полях пестициды и не применяют химическую обработку шерсти животных от насекомых, а просто чаще моют. Мы амбициозная команда, желающая финансового и профессионального развития. Мы постоянно в движении, растем, учимся и совершенствуемся. И мы в поисках нашего соратника в направлении развития нашего бренда! «Работа в легендарном бренде SARTO REALE, рядом с профессионалами своего дела, сделали нас настоящими экспертами в своей области, а благодаря широкому распространению фирменных салонов и инновационной программе продвижения - ежедневно увеличивается количество почитателей нашего бренда и соответственно наша мотивация, материальная заинтересованность и ответственность. Нам нужны, соратники, которые не только значительно увеличат нашу прибыль своим ответственным подходом к делу, но и станут нашими друзьями! Ждём активных и целеустремлённых людей с большими планами на будущее!» с Уважением, владелец “Sarto Reale”    "
Junior Machine Learning разработчик / Удаленно,91024612,False,https://hh.ru/vacancy/91024612,2023-12-29T10:08:05+0300,,Icons8,Москва,"Программист, разработчик",Полная занятость,От 1 года до 3 лет,,,150000.0,RUR,False,Удаленная работа,Опыт написания проектов на python: от собственных pet-проектов и контрибуций в opensource до реальных продуктовых решений (желательно в стеке...,"Привет. Мы — международная команда Icons8, платформы для иконок, фотографий, музыки, иллюстраций, генерации фото, предиктивной аналитики в дизайне и прочих...",,,Открытая,"Привет. Мы — международная команда Icons8, платформы для иконок, фотографий, музыки, иллюстраций, генерации фото, предиктивной аналитики в дизайне и прочих интересных штук.Сейчас у нас в планах усилить нашу крутую команду энергичным и талантливым junior ML-инженером с горящими глазами и опытом разработки на Python.С нами ты увидишь отражение своей работы в реальных живых продуктах (см. Описание проектов ниже), которыми пользуются люди по всему миру. Эта позиция включает в себя все аспекты ML-разработки: от генерации и тестирования гипотез, до обучения и деплоя обученных моделей в форме API. Как junior ML-инженер в нашей команде ты будешь:   Собирать датасеты и строить пайплайны для обучения моделей (от классического CV до генераторов и NLP), проводить много экспериментов и презентовать их результаты на основе выбранных метрик.   Постоянно экспериментировать с разными новыми публикациями статей и релизами, чтобы не отставать от области и понимать, что работает, а что - нет.   Работать с существующими и разрабатывать новые API-интерфейсы для ML-продуктов, заботясь об оптимизации и чистоте их кода.   Сотрудничать с дизайн и продуктовыми командами для создания лучшего пользовательского опыта.   Требования:   Опыт написания проектов на python: от собственных pet-проектов и контрибуций в opensource до реальных продуктовых решений (желательно в стеке Python + PyTorch).   Опыт работы с генеративными сетями (Diffusion и GAN): знание основных архитектур, умение формировать промпты и файнтюнить (Dreambooth, LoRA etc.) модели.   Ты знаком с основными инструментами ML-разработки в области картинок (NumPy, OpenCV, PyTorch, etc.), и можешь подобрать какие инструменты и модели (архитектуры моделей) использовать для решения разных задач.   Умение читать современные научные публикации и работать с их существующими реализациями.   Умение декомпозировать задачу и код в переиспользуемые библиотеки и компоненты.   Работа в окружении Jupyter, Linux, Git, Bash, Docker.   Знание английского языка на техническом уровне.   Будет плюсом, если есть что-то из списка:   Опыт работы с фреймворками для создания API web-приложений на Python (FastAPI, Flask etc.).   Опыт участия в соревнованиях по ML-разработке (Kaggle etc.) или программированию (не обязательно победный).   Опыт работы с любым из облачных сервисов (AWS, Google Cloud, Microsoft Azure) и их основными инструментами (GCS, Colab, S3, EC2, и др.).   Опыт разработки на других языках программирования (С/С++, R, Swift и др.).Софт скиллы:   Умение выбирать задачи под свои навыки и интересы и принимать активное участие в планировании спринтов.   Готовность давать и получать фидбэк, признавать свои ошибки и обсуждать их с коллегами.   Способность предлагать и презентовать новые идеи и участвовать в их реализации.   Хорошие коммуникативные навыки, умение работать в команде и желание постоянно совершенствоваться.*Уважаемые и любимые специалисты по данным, вы прекрасны, но нам важно чтобы у нашего будущего члена команды был опыт работы с генеративными сетями и знание инструментов ML-разработки в области картинок   Особенности работы:   Работа с крупными проектами, которые используют передовые технологии;   Возможность вносить свой личный вклад в продукты и предлагать новые идеи;   Работа в атмосфере дружелюбной команды, где ценится открытость и инициативность. У нас международная команда, все мы работаем удаленно.   Все члены команды работают когда хотят, но нужно отработать 35 часов в неделю и быть на daily standup в 13:00 GMT+3. Время трекаем в Hubstaff.   Если захотите работать больше - без проблем, мы оплачиваем все переработки   Описание проектов:    Icons8 Upscaler (icons8.com/upscaler) - приложение для увеличения изображений и улучшения качества фотографий;   Generated Photos Faces (generated.photos/faces) - библиотека сгенерированных лиц, созданная с помощью нейросетей;   Generated Photos Face Generator (generated.photos/face-generator) - веб-приложение для тонкой настройки генерации лиц;   Generated Photos Human Generator (http://generated.photos/human-generator) - генератор людей в различных позах с гибкой настройкой через веб интерфейс.   Icons8 Background Remover (icons8.com/bgremover) - приложение для удаления фона с изображений;   Icons8 Swapper (icons8.com/swapper) - приложение для замены лиц на изображениях.Мы предлагаем:   Конкурентную заработную плату в любой валюте;   Гибкий график работы и удаленную работу из любой точки мира;   Возможность для профессионального и личностного роста;   Работу в дружелюбной команде, где ценится открытость и инициативность.Если ты готов к новым вызовам и желаешь присоединиться к нашей команде, а твой опыт соответствует нашим требованиям, отправляй свое резюме и портфолио. Мы ждем тебя! До встречи на онлайн-собеседовании!  "
ML-инженер (удаленно),90995212,False,https://hh.ru/vacancy/90995212,2023-12-25T15:20:10+0300,,Фарма-Перископ,Омск,Дата-сайентист,Полная занятость,От 1 года до 3 лет,,,,,,Удаленная работа,"Ищем взрослого, самостоятельного <highlighttext>ML</highlighttext>-<highlighttext>инженера</highlighttext> с опытом работы с классическим ML и готовым быстро разбираться с LLM. Высшее технические образование...",Задача: проектирование и разработка системы оценки эффективности рекламного контента (комбинация текстовой и графической информации). Работа в паре с backend-разработчиком.,,,Открытая,"Мы небольшая исследовательская компания с ИТ-уклоном, развивающая успешный продукт с 2020 года. Клиенты - большие корпорации. Стабильное финансовое положение. Сейчас в процессе внедрения ML/LLM в наши продукты. Компания работает в удаленном формате, периодически собираясь в красивом месте для тимбилдинга. Аккредитованная ИТ-компания. Ищем взрослого, самостоятельного ML-инженера с опытом работы с классическим ML и готовым быстро разбираться с LLM. Задача: проектирование и разработка системы оценки эффективности рекламного контента (комбинация текстовой и графической информации). Работа в паре с backend-разработчиком. Требования:  высшее технические образование («дружба» со статистикой) опыт работы от 2-х лет full time уверенные знания Python (PyTorch, Numpy, Sklearn, Pandas и др.) опыт решения классических ML-задач опыт работы с LLM, дообучением GPT-like моделей или большое желание в этом быстро разобраться уверенный SQL самостоятельность, увлеченность темой AI  Условия: оформление в штат (варианты обсуждаются). Полная занятость, рабочий день по Мск (небольшое смещение допускается). Удаленная работа. Индивидуальные программы развития/образования. Размер компенсации обсуждаем."
Data Scientist,91095450,False,https://hh.ru/vacancy/91095450,2023-12-27T19:13:28+0300,,Монополия,Санкт-Петербург,Дата-сайентист,Полная занятость,От 1 года до 3 лет,,,,,,Удаленная работа,"Знания Python на хорошем уровне, в том числе популярные библиотеки (TensorFlow, PyTorch, Keras, spaCy, Pandas, NumPy и другие). ",Структурирование и анализ сырых данных. Поиск дополнительных источников данных для обогащения моделей. Полный цикл создания моделей машинного обучения на основе...,,,Открытая,"Задачи:  структурирование и анализ сырых данных; поиск дополнительных источников данных для обогащения моделей; полный цикл создания моделей машинного обучения на основе транзакционной и поведенческой информации; генерация и проверка гипотез для постоянного улучшения качества модели.    Мы ожидаем:  знания Python на хорошем уровне, в том числе популярные библиотеки (TensorFlow, PyTorch, Keras, spaCy, Pandas, NumPy и другие); знания особенности анализа и прогнозирования временных рядов; опыт работы в DS не менее 3 лет, опыт на позиции middle/senior DS не менее 2 лет; SQL (написание запросов, понимание принципов организации БД); навыки работы с количественной информацией, знания теории вероятностей и математической статистики.    Мы предлагаем:  официальное трудоустройство с первого дня работы; график работы — 5/2, гибкое начало дня, гибридный режим; современный офис рядом с метро Звёздная: кухни, вкусный кофе, места для отдыха; ДМС с момента трудоустройства; программа адаптации и welcome-тренинг; бонусы для сотрудников: реферальные программы, корпоративные мероприятия, мерч, подарки для детей; корпоративные скидки: английский, спорт, кафе и рестораны в ТРЦ; разделяем принципы устойчивого развития: раздельный сбор отходов, контейнеры для батареек и своп-вечеринки в офисе.  Компания входит в список аккредитованных ИТ компаний, на сотрудников распространяются все социальные льготы для профильных специалистов, в том числе льготная ипотека и освобождение от призыва на военную службу."
Junior Data Scientist,90878934,False,https://hh.ru/vacancy/90878934,2023-12-20T16:04:50+0300,,Форк ИТ,Москва,"Программист, разработчик",Полная занятость,От 1 года до 3 лет,,,,,,Удаленная работа,"Опыт работы с указанным стэком инструментов или на аналогичной позиции от 1 года. Высшее математическое, техническое образование. Нацеленность на результат...",Участвовать в разработке проектов цифровизации предприятий горной отрасли: от оптимизации бизнес-процессов до управления технологическими линиями. Генерировать и проверять технические...,,,Открытая," Наша команда объединяет более 250 IT специалистов в 3 офисах по всей стране. Мы ищем профессионалов, способных мыслить глобально и создавать тренды. Сейчас в Цифровую лабораторию – R&D направление бизнеса, ориентированное на проработку цифровых инициатив и проектов, исследования новых областей улучшений и трансформаций, направленных на достижение результатов в условиях неопределенности, с фокусом на достижение технических и экономических эффектов на производстве, требуется Junior Data Scientist, способный быстро погрузиться в новые задачи и усилить нашу команду. ЧТО ТЫ БУДЕШЬ ДЕЛАТЬ:  Участвовать в разработке проектов цифровизации предприятий горной отрасли: от оптимизации бизнес-процессов до управления технологическими линиями Генерировать и проверять технические гипотезы Реализовывать математические модели и модели машинного обучения Разрабатывать эффективные алгоритмы обработки данных Рассчитывать бизнес-метрики, создавать визуализацию результатов.    ЧТО ТЫ УЖЕ ИМЕЕШЬ:  Опыт работы с указанным стэком инструментов или на аналогичной позиции от 1 года; Высшее математическое, техническое образование; Нацеленность на результат и готовность погрузиться в предметную область и особенности технических процессов конкретного производства, изучать книги, публикации; Знание и понимание методов математической статистики, оптимизации и машинного обучения (табличный ML, нейронные сети); Хороший уровень владения Python и наиболее популярными библиотеками, используемыми при анализе данных и построении моделей (pandas, numpy, sklearn, scipy, statsmodels, pytorch); Владение git;  Будет плюсом:  Опыт работы с СУБД: MS SQL Server, Clickhouse: Понимание технологий контейнеризации, ci/cd;  ЧТО МЫ ПРЕДЛАГАЕМ:  Аккредитованная ИТ компания Опыт работы над социально значимыми проектами Официальное трудоустройство в соответствии с ТК РФ Возможность удаленной работы Конкурентную заработную плату ДМС + стоматология с первых рабочих дней Премии по результатам KPI Интересную программу внутреннего и внешнего обучения      "
Data scientist (in-office),91046076,False,https://hh.ru/vacancy/91046076,2023-12-26T15:07:21+0300,,Балякно Артём Артурович,Омск,Другое,Полная занятость,Нет опыта,,70000.0,,RUR,False,Полный день,"Опыт обучения нейроных сетей. Опыт разработки и интеграции AI-проектов. Ответственность, стрессоустойчивость, исполнительность, внимательность.",Работа с массивами данных их структуризация и фильтрация. Настройка процессов по обработке и аугментации данных. Интерпретировать результаты и составлять отчет...,,,Открытая,"Привет, мы расширяем нашу команду и ищем Data scientist в Офис г Омск. Работа над игрой в жанре космический симулятор, РПГ от третьего лица. Если у тебя есть опыт работы с нейросетями и ты умеешь работать с массивами данных для их обучения, то мы ждем тебя в нашу команду! Обязанности:  Работа с массивами данных их структуризация и фильтрация; Настройка процессов по обработке и аугментации данных; Интерпретировать результаты и составлять отчет об иследовании; Работа с базами данных;  Требования:  Опыт обучения нейроных сетей; Опыт разработки и интеграции AI-проектов; Ответственность, стрессоустойчивость, исполнительность, внимательность;  Условия:  Работа в офисе в опытном коллективе, гибкий график; Участие в разработке крупного и перспективного проекта; Достойная оплата - уровень обсуждается индивидуально с каждым кандидатом;  Процесс отбора:  Собеседование c тимлидом; Тестовое задание.   "
