name;id;premium;alternate_url;created_at;department.name;employer.name;area.name;professional_roles.name;employment.name;experience.name;salary;salary.from;salary.to;salary.currency;salary.gross;schedule.name;snippet.requirement;snippet.responsibility;working_time_intervals.name;type.name;description.vacancy
Системный аналитик;91023672;ЛОЖЬ;https://hh.ru/vacancy/91023672;26.12.2023 9:55;;getmatch;Москва;Аналитик;Полная занятость;От 1 года до 3 лет;NaN;;419000.0;RUR;ИСТИНА;Удаленная работа;Опыт в <highlighttext>системной</highlighttext> <highlighttext>аналитике</highlighttext> от 2 лет. Навыки графического описания бизнес-процессов и интеграционных взаимодействий в виде BPMN или UML...;Собирать и анализировать бизнес-требования. Согласовывать и формализовывать функциональные требования по доработкам. Составлять техническую документацию (ТЗ, ПЗ, ФТ и т...;;Открытая;Привет! Мы в поисках Системного аналитика в крупную IT компанию. Мы ищем кандидата для принятия участия в реализации амбициозного проекта по написанию новой АБС, предстоит разработать с нуля сложную, разветвленную, транзакционную и высоконагруженную систему на омниканальной платформе.???????Обязанности:  Собирать и анализировать бизнес-требования. Согласовывать и формализовывать функциональные требования по доработкам. Составлять техническую документацию (ТЗ, ПЗ, ФТ и т.д.). Проектировать структуру данных, описывать алгоритмы обработки данных. Участвовать в проектировании архитектуры системы с архитектором. Консультировать разработчиков, специалистов качества в части понимания требований.  Требования:  Опыт в системной аналитике от 2 лет. Навыки графического описания бизнес-процессов и интеграционных взаимодействий в виде BPMN или UML диаграмм. Знание гибких методологий разработки (практики Agile, Scrum, Kanban или подобные). Опыт командной разработки (с использованием Confluence, Jira). Опыт проектирования пользовательских интерфейсов и UX-схем.  Условия:  Гибкий график работы — в офисе, удаленно или в гибридном формате. Поддержка новичков по программе наставничества. ДМС с возможностью подключения близких родственников. Сервис психологической поддержки. Корпоративный кафетерий льгот с возможностью компенсации билетов и отелей в отпуске, абонементов в спортзал, спортинвентаря, билетов в театр и многого другого. Лекции и мастер-классы от известных спикеров, тимбилдинги, корпоративная библиотека и многое другое. Скидки и купоны от сотен компаний-партнёров на единой платформе. Маркетплейс мерча с собственной корпоративной валютой, которая начисляется за участие в активностях. Дополнительные выходные в дни радостных (и не только) событий. Дополнительный оплачиваемый отпуск (3-и календарных дня). Широкие возможности внутреннего и внешнего обучения. Необходимая техника и софт для работы. Конкурентная зарплата по итогам интервью, наличие премиальной составляющей. 
Системный аналитик (стажер);91016652;ЛОЖЬ;https://hh.ru/vacancy/91016652;26.12.2023 8:16;;Ренью;Екатеринбург;Системный аналитик;Стажировка;Нет опыта;NaN;40000.0;;RUR;ЛОЖЬ;Полный день;Широкий кругозор и аналитический склад ума, то есть важно иметь навыки систематизации и структурирования информации, нахождения взаимосвязи и формирования выводов. ;Детали. Как осуществляется отбор: Прием заявок. Рассмотрение анкет экспертом. Выполнение тестового задания. Отбор участников.;;Открытая;"??????Привет! Мы — Renue, IT-компания из Екатеринбурга.Мы специализируемся на разработке масштабных проектов для государственных и крупных IT-компаний в России и СНГ. Каждый наш новый проект - уникальный, потому что мы занимаемся заказной разработкой (B2G), работаем с highload системами, сервис-ориентированной архитектурой и используем современные фреймворки и технологии. Зачем тебе к нам — Мы стремимся развивать технические компетенции в каждом сотруднике.  У нас крупные российские и зарубежные заказчики, с которыми мы работаем уже много лет.  — Мы маленькие (70+ человек) и гибкие, но при этом работаем над серьезными и зачастую инновационными проектами в масштабах всей страны. — У нас неформальное и близкое общение, мы за прямые короткие коммуникации (в том числе с директором) и против бесконечных совещаний. — Мы открыто говорим о проблемах и вместе находим решения. — Мы создаем друг для друга благоприятную обстановку для работы, поддерживаем хорошие отношения внутри команды. — Мы разделяем на 100% человекоориентированный подход, надеемся, что тебе это близко. Требования  Широкий кругозор и аналитический склад ума, то есть важно иметь навыки систематизации и структурирования информации, нахождения взаимосвязи и формирования выводов. Готовность разбираться в технологиях и применять их на практике, много общаться и грамотно излагать свои мысли. Выпускник (2020–2023 гг.) или студент (4+ курс) профильного IT-факультета ВУЗа. Выпускник непрофильного факультета ВУЗа (2020–2023 гг.) с законченными курсами по системному анализу.  Детали О масштабах стажировки: Мы разрабатываем высоконагруженные и отказоустойчивые решения для крупных российских и зарубежных заказчиков, поэтому ты сможешь разобраться в устройстве информационных систем, паттернах проектирования и современных технологических решениях разработки ПО. У нас всегда найдется проект с новым вызовом! Условия стажировки:  Занятость 40 часов в неделю с гибким началом и окончанием рабочего дня. Удаленный формат работы. Для стажеров из Екатеринбурга есть возможность работать в нашем офисе в центре города. Официальное оформление по трудовому договору и конкурентная заработная плата. Совместно с опытными наставниками и командой других стажеров, ты будешь погружаться в профессию, решая реальные проектные задачи.  Жизнь стажера: Мы поддерживаем благоприятную атмосферу в нашей команде, способствующую комфортному обучению и работе. С первых дней ты сможешь напрямую работать с наставником и контактировать с другими коллегами. Мы добавим тебя в общий чат наставников и стажеров, там ты сможешь задать любой вопрос и получить поддержку. Наставник и обучение: На протяжении всей стажировки можно обращаться к любому наставнику из команды. Также будут запланированы регулярные встречи для сверки и обратной связи по результатам работы. Что будет после стажировки: Все будет зависеть от твоих успехов. Программа длится 3 месяца. С самого начала за тобой будет закреплен опытный наставник — один из системных аналитиков нашей компании. Параллельно, с прохождением основной программы стажировки, ты будешь работать в команде над существующим проектом и решать реальные задачи. Как осуществляется отбор: Все этапы проходят онлайн.   Прием заявок;   Рассмотрение анкет экспертом;   Выполнение тестового задания;   Собеседование (~1ч);   Отбор участников.   Мы предлагаем  Оплачиваемую стажировку с перспективой дальнейшего трудоустройства. Работу в команде с опытными наставниками. Реальные интересные задачи. Современные средства командной разработки. Удаленный формат сотрудничества или работу в офисе в центре Екатеринбурга, на твой выбор. Внерабочие активности: корпоративные мероприятия и конференции. "
Младший системный аналитик;90728490;ЛОЖЬ;https://hh.ru/vacancy/90728490;15.12.2023 12:00;;ДЕКА;Казань;Системный аналитик;Полная занятость;Нет опыта;NaN;60000.0;120000.0;RUR;ИСТИНА;Полный день;Образование в области информационных технологий является обязательным! Аналитический склад ума, структурированное мышление и понимание ИТ. Опыт работы с реляционными базами...;Проектирование и постановка детальных задач для отдела разработки. Проектирование структуры БД для расширения функциональности действующих продуктов и при реализации новых...;;Открытая;"Требуется аналитик для участия в ИТ-проектах компании в разных сферах с широкой географией.     Обязанности:  Проектирование и постановка детальных задач для отдела разработки; Проектирование структуры БД для расширения функциональности действующих продуктов и при реализации новых проектов; Проектирование обменов данными между компонентами/системами; Детальное описание и техническое документирование разрабатываемого ПО; Подготовка Технических заданий на разработку программного обеспечения.  Требования:  Образование в области информационных технологий является обязательным! Аналитический склад ума, структурированное мышление и понимание ИТ; Опыт работы с реляционными базами данных и знание SQL; Навыки подготовки технических заданий на разработку ПО.  Условия работы:  Интересные и динамичные проекты с крупными Заказчиками; Позитивная, молодая и амбициозная команда; Системы разного уровня сложности с возможностью применять всесторонние навыки, постоянно изучать современные технологии в области ИТ и нарабатывать ценный опыт; Полностью ""белая"" и своевременно выплачиваемая заработная плата и официальное трудоустройство в соответствии с ТК РФ; Возможность оформления льготной ИТ-Ипотеки; Современный и просторный офис в центре города на улице Волкова. Рабочий график: понедельник-пятница с 9:00 до 18:00; Обеспечение всем необходимым оборудованием для работы; Отличный 100% зерновой кофе в неограниченном количестве ;) Профессиональный стол для кикера и PS для приятного отдыха! "
Младший аналитик (IT);90551870;ЛОЖЬ;https://hh.ru/vacancy/90551870;29.12.2023 12:25;;Olima;Москва;Аналитик;Стажировка;Нет опыта;NaN;100000.0;140000.0;RUR;ЛОЖЬ;Полный день;Опыт работы в данной сфере необязателен. Перед трудоустройством проводится подготовка. Приветствуются базовые знания SQL, Java, Python, C#, JavaScript, PHP.;Анализ процессов компании. Составление схем бизнес-процессов. Составление технических заданий (ТЗ). Постановка задач разработчикам. Контроль сроков выполнения задач. ;;Открытая;Мы – IT кадровое агентство. Трудоустраиваем кандидатов в компании на должности бизнес-аналитик и системный аналитик. Рассматриваются кандидаты без опыта Наши услуги по трудоустройству для кандидатов платные. Оплата происходит после трудоустройства с заработных плат Обязанности:  Анализ процессов компании Составление схем бизнес-процессов Составление технических заданий (ТЗ) Постановка задач разработчикам Контроль сроков выполнения задач Расстановка приоритетов по задачам Составление инструкций для пользователей  Требования:  Опыт работы в данной сфере необязателен. Перед трудоустройством проводится подготовка Приветствуются базовые знания SQL, Java, Python, C#, JavaScript, PHP  Условия:  Полностью белое трудоустройство по ТК РФ График работы: 5/2 с 09:00 до 18:00 или с 10:00 до 19:00 Работа в офисе, кандидаты на удаленную работу не рассматриваются! Оклад: 100 000 – 140 000 рублей на руки (после вычета налогов)  Если Вы приняли решение, что хотите попробовать свои силы, тогда оставляйте отклик на вакансию. Мы ждем именно Вас!
Аналитик (специалист Excel);90807761;ЛОЖЬ;https://hh.ru/vacancy/90807761;25.12.2023 18:42;;Бионика;Москва;Аналитик;Полная занятость;Нет опыта;NaN;80000.0;;RUR;ЛОЖЬ;Полный день;Высшее образование – экономика, математика, статистика. Навыки <highlighttext>системной</highlighttext> <highlighttext>аналитики</highlighttext>. Умение работать с большими объёмами информации и структурировать (систематизировать) её. ;Подготовка аналитических материалов по аптечному сегменту. Аналитико-статистическая обработка информации (ABC - анализ, расчет среднего чека, статистика по регионам).;;Открытая;"Компания AlphaRM входит в ГК Бионика и специализируется на предоставлении и создании аналитических баз данных по всем сегментам фармацевтического рынка России. Мы умеем работать с большими объемами информации и приглашаем Аналитика, которому будет это интересно. Обучение нашей специфике подразумевается. Работа в команде. Итак, мы ищем в свою команду Гения Excel. Обязанности:  подготовка аналитических материалов по аптечному сегменту; аналитико-статистическая обработка информации (ABC - анализ, расчет среднего чека, статистика по регионам)  Требования:  Высшее образование – экономика, математика, статистика Навыки системной аналитики Умение работать с большими объёмами информации и структурировать (систематизировать) её   углублённые знания и навыки Excel (экспертное владение сложными формулами и сводными таблицами, желательно знание VBA)  Условия:  оформление по ТК РФ график работы 5/2 офис в пешей доступности от м. Калужская заработная плата от 80 000 рублей на собеседовании необходимо будет пройти тестирование по навыкам Excel "
Системный аналитик;90868126;ЛОЖЬ;https://hh.ru/vacancy/90868126;20.12.2023 12:29;;Effective Mobile;Москва;Системный аналитик;Полная занятость;Нет опыта;NaN;50000.0;100000.0;RUR;ЛОЖЬ;Удаленная работа;знакомство с технологиями веб-приложений (HTTP, TCP/IP, JSON/REST, веб-сервисы). ? знание SQL. ? понимание как общаться со стейкхолдерами и...;;;Открытая;"Привет! Вакансия для тебя, если ты аналитик, хочешь решать сложные задачи и постоянно прокачивать свои навыки. Для начала предлагаем тебе несложные задачки на внутренних проектах. Если ты готов активно развивать свои навыки (мы в этом помогаем), то ты откроешь возможность поработать с такими компаниями: Х5 Group, Сбербанк, Вконтакте, CSI, BNS, Магнит, Пятерочка, Яндекс и тд - это интересные проекты и крутой опыт.Сейчас мы ищем Junior/Junior+ аналитика, которого сможем быстро научить разбираться во всех важных технологиях. Поэтому готовы инвестировать деньги, время и нашу экспертность в твое обучение в первые пару месяцев, чтобы ты сильно вырос в наших руках.   Требования: ? знакомство с технологиями веб-приложений (HTTP, TCP/IP, JSON/REST, веб-сервисы); ? знание SQL ? понимание как общаться со стейкхолдерами и командой разработки на одном языке ? умение описывать функциональные, нефункциональные требования ? опыт написания технического задания ? знание и опыт описания бизнес-процессов с помощью нотаций (BPMN, UML) ? письменная и устная грамотность   Будет плюсом: ? законченное высшее техническое образование;   Условия: - Удаленная работа - Рабочая неделя 5/2 с 10.00 до 18:00 - Удобная и понятная система постановки и контроля задач по Agile/SCRUM - Интересные проекты - Карьерный и профессиональный рост     Зарплата обсуждается индивидуально с каждым кандидатом   Готов(а) к тестовому заданию? Ждем твой отклик!      "
Бизнес-аналитик;91017916;ЛОЖЬ;https://hh.ru/vacancy/91017916;26.12.2023 8:34;;Розничная сеть МТС;Москва;Бизнес-аналитик;Полная занятость;От 1 года до 3 лет;NaN;200000.0;;RUR;ИСТИНА;Полный день;Высшее образование (желательно, техническое, ИТ). Опыт работы бизнес или <highlighttext>системным</highlighttext> <highlighttext>аналитиком</highlighttext> от 2-х лет. IT-эрудиция, высокая степень ответственности...;People management: сотрудничество с коммерцией, логистикой, товародвижением, бухгалтерией, IT и другими членами команды для обеспечения успешной реализации проекта. ;;Открытая;"Обязанности:  People management: сотрудничество с коммерцией, логистикой, товародвижением, бухгалтерией, IT и другими членами команды для обеспечения успешной реализации проекта; Сбор и анализ требований: взаимодействие с представителями бизнеса для выявления и документирования их потребностей, анализ текущих бизнеспроцессов и определение зон роста (as-is ? to-be); Моделирование бизнес-процессов: создание диаграмм бизнес-процессов для визуализации текущих и будущих состояний, определение ключевых точек в воронке для дальнейшей оптимизации; Разработка требований: создание документов с требованиями, включающими функциональные и нефункциональные аспекты, поддержка процесса принятия решений по приоритетам и изменениям в требованиях; Составление регламентов: стандартизация и регламентация состояния to-be в соответствии со стандартами МТС; Управление изменениями: работа с “сопротивлением” к изменениям через эффективное управление коммуникациями и целепологанием; Поддержка проектов/продуктов: оказание процессной и методологической поддержки по продукту, обновление проектной документации; Тестирование и верификация: оценка и проверка соответствия внедрённого решения утверждённым требованиям и регламентам  Требования:  Высшее образование (желательно, техническое, ИТ); Опыт работы бизнес или системным аналитиком от 2-х лет; IT-эрудиция, высокая степень ответственности, обучаемости, внимательность к деталям, аналитический склад ума; Навыки работы с различного рода информацией: сбор информации, ее обработка и анализ; Умение быстро освоить технические особенности исследуемого оборудования; Знание основ программирования, SQL, Python (желательно); Опыт работы в проектах по автоматизации бизнес-процессов; Понимание этапов жизненного цикла информационных систем; Навыки разработки и оформления проектной документации, навыки ведения деловой корреспонденции с Заказчиками и Субподрядчиками; Знание методик и нотаций моделирования бизнес-процессов на экспертном уровне (EPC, BPMN, ODEF, UML); знание пакета Microsoft Office на уровне опытного пользователя (включая Word, Excel, Outlook, MS Project, Visio).  Условия:  Оклад (уровень обсуждается с успешным кандидатом) + премия. График 5/2 с 9:00 до 18:00, пятница-сокращенный день Формат работы гибридный Корпоративная мобильная связь Программа ДМС - это 100% покрытие расходов в частных клиниках, включая стоматологию. Застраховать близких родственников можно со скидкой 50%. Для любителей путешествий - страховка в поездках за границу. А еще есть страхование жизни;  Корпоративная мобильную связь и интернет для сотрудников, а для близких - на выгодных условиях;   Очное и онлайн-обучение в Корпоративном университете, у внешних провайдеров, если это полезно для работы, обмен опытом во внутренних профессиональных сообществах, а также доступ к онлайн-библиотеке в полезными книгами.    "
Frontend developer (JavaScript);91051300;ЛОЖЬ;https://hh.ru/vacancy/91051300;26.12.2023 17:10;;SberTech;Москва;Программист, разработчик;Полная занятость;От 3 до 6 лет;NaN;230000.0;;RUR;ИСТИНА;Полный день;Экспертное знание JavaScript (включая современные стандарты ES6, ES7) и особенностей языка, опыт использования TypeScript. Опыт разработки приложений на...;По сопровождению в промышленном окружении. По нагрузочному тестированию. По администрированию тестовых полигонов. Разработка UI графического WEB-дизайнера. Написание unit и...;;Открытая;"О проектеPlatform V Print - гибкое решение для формирования документов в различных форматах через обобщенный интерфейс. Наш сервис берет на себя ответственность за создание всех электронных документов в новой технологической платформе для всей экосистемы Банка и внешних клиентов вне контура Банка. Сервис находится в промышленной эксплуатации внутри банка более 2 лет. В этом году сервис стал доступен для госсектора, нас уже используют в Росимущество и ФОМС. А в ближайшие годы нам предстоит выход на массовый рынок. Что бы выдерживать высокий уровень надёжности СБЕРА (99,99%), мы всегда исследуем новые технологии и архитектурные подходы, тестируемся в различных конфигурациях. Мы ищем в команду devops специалиста, готового настроить и сопровождать наш продукт во всё многообразие инсталляций платформы. Состав команды:  Владелец продукта Архитектор сервиса 4 разработчика 2 системных аналитика QС инженер Инженер по автомтизации тестирования  Но в создании продукта замешана не только команда, есть внекомандные специалисты:  по сопровождению в промышленном окружении по нагрузочному тестированию по администрированию тестовых полигонов  Задачи:  Разработка UI графического WEB-дизайнера; Написание unit и CSS тестов; Оценка и декомпозиция задач; Поддержание документации в актуальном состоянии; Проведение code-review.  ???????Команда ждет, что у вас:  Экспертное знание JavaScript (включая современные стандарты ES6, ES7) и особенностей языка, опыт использования TypeScript; Опыт разработки приложений на React/Effector; Уверенное понимание шаблонов проектирования архитектуры front-end приложений, а также опыт их применения в коммерческих проектах; Понимание методологии Feature-Sliced Design (FSD); Знание систем сборки проектов на Vite; Опыт работы в команде; Знание систем контроля версий Git; Опыт работы с библиотеками для тестирования (enzyme/jest).  Будет плюсом:  Понимание микросервисной и микрофронтенд архитектуры; Опыт использования Lerna, Yarn Опыт построения CI.  Мы предлагаем:  Работа в крупной аккредитованной IT-компании; Офис/спортзал/парковка – всё в одном месте (БЦ Даниловский Форт) ЗП по результатам собеседования; Трудоустройство согласно ТК РФ; Регулярное корпоративное обучение; ДМС с первого рабочего дня; Материальная помощь и социальная поддержка, корпоративная пенсионная программа; Льготные условия кредитования; бонусы и скидки от экосистемы и партнеров; Доступ к различным курсам обучения по развитию как hard, так и soft skills. "
Тестировщик / Middle QA;90695446;ЛОЖЬ;https://hh.ru/vacancy/90695446;14.12.2023 16:15;;Старфиш;Казань;Тестировщик;Полная занятость;От 1 года до 3 лет;NaN;70000.0;120000.0;RUR;ИСТИНА;Гибкий график;Аналогичный опыт работы от 1 года будет Вашим преимуществом. Опыт всех видов ручного тестирования задач. Понимание клиент-серверной архитектуры, общих...;...улучшения качества продуктов компании. Работа в команде с текущими тестировщиками, <highlighttext>системными</highlighttext> <highlighttext>аналитиками</highlighttext> и разработчиками. Ведение отчетности в своей зоне ответственности.;;Открытая;"Starfish24 - уникальная компания молодых специалистов, объединяющая разных людей с единым желанием работать и помогать огромному количеству людей. Основной деятельностью является разработка системы управления заказами, помогающая ритейлерам выстраивать омниканальные продажи. Среди наших клиентов более 20 российских и международных брендов: Calvin Klein, Love Republic, befree, Globus, Sephora, Michael Kors и другие. Цель - увеличивать прибыль, сокращать время обработки заказа, быстро запускать новые каналы продаж и эффективные способы доставки.В связи с масштабным развитием компании приглашаем к сотрудничеству в нашу классную команду Тестировщика/ Middle QA! Обязанности:  написание тестовой документации: тест-планы, тест-кейсы и сценарии; проведение всех видов ручного тестирования задач; заведение баг-репортов и поиск ошибок по логам; усовершенствование процессов тестирования, создание четких и понятных бизнес-процессов тестирования для улучшения качества продуктов компании; работа в команде с текущими тестировщиками, системными аналитиками и разработчиками; ведение отчетности в своей зоне ответственности.  Мы ждем от Вас:  аналогичный опыт работы от 1 года будет Вашим преимуществом; опыт всех видов ручного тестирования задач; понимание клиент-серверной архитектуры, общих принципов разработки и тестирования, а так же цикла разработки и тестирования ПО; опыт создания тестовой модели с нуля и тестирования web-приложений; знание и владение: Postman, Swagger, Kibana, Gitlub, Jira, Confluence; Camunda (будет преимуществом); проактивность, экологичность и желание развиваться и расти в профессиональном плане.    Мы предлагаем:   официальное трудоустройство согласно ТК РФ;   работу в аккредитованной IT-компании с возможностью развития своих профессиональных качеств и навыков в команде;   современный и просторный офис в самом центре Казани в новом IT-парке им. Башира Рамеева;   конкурентный ""белый"" доход, состоящий из фиксированного оклада + премии по результатам выполненных проектов;   возможность поработать с множеством интересных задач и проектов, а так же повысить свой уровень компетенций и дохода;   ввод в должность опытным наставником и поддержка коллег во время адаптации;   возможность гибкого начала рабочего дня и удаленной работы (график работы 5/2);   питание за счет компании при условии работы из офиса;   максимально дружный, крутой, молодой коллектив и лояльное, грамотное руководство;   отсутствие бюрократии и положительное отношение к изменениям.   Мы ждем именно Вашего отклика!"
Начинающий инженер - программист (офис);91143905;ЛОЖЬ;https://hh.ru/vacancy/91143905;29.12.2023 13:26;;Клеверенс Софт;Москва;Программист, разработчик;Полная занятость;Нет опыта;NaN;35000.0;45000.0;RUR;ЛОЖЬ;Полный день;Высшее или неоконченное высшее техническое образование. Базовые навыки программирования (приветствуются Visual Basic, C#, Java или 1С).;Работать в среде Mobile SMARTS (графический язык программирования + CASE система) - инструмент автоматизации разработки программного обеспечения для <highlighttext>системного</highlighttext> <highlighttext>аналитика</highlighttext>, разработчика...;;Открытая;"«Клеверенс» — крупнейший в России разработчик программного обеспечения для автоматизации учета товара по штрихкодам и RFID меткам. Помогает производителям, продавцам и системным интеграторам решать задачи сканирования штрихкодов и RFID-меток при помощи мобильных приложений, чтобы каждый сотрудник склада, магазина, производства решал поставленные руководством задачи со смартфона или с терминала сбора данных.  20 лет опыта на рынке В 30 странах успешно используют наше решение Каждый 4-ый терминал сбора данных в России работает с нашим решением  Преимущества работы:   Предоставляем отсрочку от частичной мобилизации/армии (занесены в государственный реестр аккредитации) кандидатам с высшим образованием и/или студентам старших курсов, попадающих в перечень приоритетных специальностей и направлений в сфере связи и информационных технологий, Возможен гибридный график работы, после успешного прохождения испытательного срока, Наставничество от руководителя и коллег, мы нацелены на результат, Один из самых востребованных продуктов в IT, В офисе во время перерыва можно посмотреть телевизор и поиграть в приставку, Премии за соблюдение сроков, В дальнейшем возможно продвижение до C#-разработчика по направлению облачных и мобильных решений.  Обязанности:  Разработка приложений для товарного учета (магазины, склады, производства) под индустриальные мобильные устройства (Android, WinCE) в среде Mobile SMARTS; Работать в среде Mobile SMARTS (графический язык программирования + CASE система) - инструмент автоматизации разработки программного обеспечения для системного аналитика, разработчика ПО и программиста; Участие в составлении ТЗ на разработку в Mobile SMARTS: Структурирование данных; Описание бизнес-процессов «как есть», разработка бизнес-процессов «как должно быть», разработка ТЗ в рамках автоматизации бизнес-процесса. Описание интерфейса UX и UI; Интеграция платформы с внешними открытыми данными и системами; Тестирование и внедрение бизнес-процессов; Обучение разработке в Mobile SMARTS специалистов компаний-партнеров; Разработка сопутствующих элементов, например, этикеток для печати, мобильные и стационарные принтеры; Доработка, профилирование и оптимизация приложений.  Требования:  Высшее или неоконченное высшее техническое образование; Базовые навыки программирования (приветствуются Visual Basic, C#, Java или 1С);  Условия:  Полностью официальное оформление по ТК РФ. Выплата денег 2 раза в месяц без задержек. На период испытательного срока в течение трёх месяцев работа в офиса, после успешного прохождения испытательного срока возможен гибридный график работы (офис + удаленно), Пятидневная рабочая неделя с гибким дневным графиком (с 9-00 либо с 11-00), выходные суббота и воскресенье. Кафе-столовая в здании офисного центра.  Для приглашения на собеседование необходимо удаленно сделать тестовое задание. Обратная связь поступит Вам на почту, с которой было отправлено тестовое задание. Задание необходимо выполнить с помощью средств разработки, предоставленных платформой Mobile SMARTS.Решения, реализованные отличными от вышеуказанного способа, не рассматриваются.     Уважаемые соискатели! Входящие отклики будут рассмотрены и обработаны после 9 января 2024 года. С наступающим Новым Годом!"
