name,id,premium,alternate_url,created_at,department.name,employer.name,area.name,professional_roles.name,employment.name,experience.name,salary,salary.from,salary.to,salary.currency,salary.gross,schedule.name,snippet.requirement,snippet.responsibility,working_time_modes.name,working_time_intervals.name,type.name,description.vacancy
Начинающий Data Scientist (Computer Vision),88796932,False,https://hh.ru/vacancy/88796932,2023-10-30T06:38:48+0300,,ДИБИЭЙ,Барнаул,Дата-сайентист,Полная занятость,Нет опыта,,40000.0,,RUR,False,Удаленная работа,"Понимание процессов в областях Machine Learning, Deep Learning. Опыт в областях Computer Vision, Image Recognition. Знание и опыт использования ML...",Растрескивание деревянной опоры и траверсы. Загнивание деревянной опоры и траверсы. Отсутствие вязки. Оголение арматуры.,,,Открытая,"DBA – аккредитованная IT-компания, системный интегратор и разработчик мультифункциональных программных решений с использованием цифровых технологий для автоматизации сложных и нелинейных бизнес-процессов.У нас несколько направлений работы. Один из них программный продукт – СИДЭ – система интеллектуальной диагностики энергообъектов. В связи с развитием отдела ищем специалиста, который займется обучением нейросети распознаванию дефектов с помощью технологии «компьютерное зрение». Требования к кандидату:  Понимание процессов в областях Machine Learning, Deep Learning; Опыт в областях Computer Vision, Image Recognition; Знание и опыт использования ML-фреймворков: pytorch; torchvision, mmlab (mmdetection, mmsegmentation и т.д.); Знание Python; Опыт работы с Git.  Будет плюсом:  Профильное техническое/математическое образование; Знание tensorflow, keras, jax; Английский язык на уровне чтения технической литературы; Опыт решения задач классификации и детектирования/сегментации с помощью CNN; Понимание метрик эффективности моделей машинного обучения; Знание и понимание классических структур данных и алгоритмов их обработки.  Основная задача доработать существующие модели поиска дефектов:  растрескивание деревянной опоры и траверсы, загнивание деревянной опоры и траверсы, отсутствие вязки, оголение арматуры.  Что предлагаем:  Оформление по ТК, стабильная белая зарплата; График работы: 5/2, с 8:00 до 17:00, в пятницу с 8:00 до 16:00 – готовы предложить гибкое начало рабочего дня; Удаленный формат работы; Возможность обучения, курсы повышения квалификации; Перспективы профессионального и зарплатного роста.  Почему нас стоит выбрать: мы внимательны к каждому сотруднику – помогаем адаптироваться и создаем комфортные условия работы. А ещё мы делаем продукты, которые приносят пользу бизнесу и делают этот мир чуточку проще.  "
Стажер ML-инженер,88953852,False,https://hh.ru/vacancy/88953852,2023-11-01T16:20:04+0300,,Samokat.tech,Москва,Дата-сайентист,Стажировка,Нет опыта,,,,,,Удаленная работа,Знание Python. Знание SQL. Базовые знания ML. Знание AirFlow будет вашим преимуществом. Инициативность и самостоятельность.,"Разрабатывать, поддерживать и оптимизировать (BI) Дашборда контроля операционных метрик продукта планирования смен. Оптимизировать работу дашборда. Разрабатывать и поддерживать процессы Airflow. ",,,Открытая,"Привет!На связи продуктово-технологическая команда Samokat.tech. Мы начинаем поиски стажёра в проект машинного обучения операционных продуктов! Команда занимается оптимизацией выходов курьеров на смены, основываясь на прогнозы заказов. Мы уже оптимизировала более 1500 складов и двигаемся дальше! Используемый стек:  Python; SQL; NumPy; Pandas; AirFlow; Streamlit; Scikit-learn;  Чем предстоит заниматься:   разрабатывать, поддерживать и оптимизировать (BI) Дашборда контроля операционных метрик продукта планирования смен;  оптимизировать работу дашборда; разрабатывать и поддерживать процессы Airflow; осуществлять мониторинг и первичный анализ инцидентов;  Ожидания от будущего коллеги:   знание Python;   знание SQL;   базовые знания ML;   знание AirFlow будет вашим преимуществом;  инициативность и самостоятельность;  Что готовы предложить:  оплачиваемую стажировку 6 месяцев, с возможностью оформление в штат компании; уверенность и спокойствие: оформляем официально, даже на время стажировки, платим в белую; SkyEng, WorldClass, Skillbox, BestBenefits и множество скидок от других партнеров после прохождения стажировки; формат работы: полная удалёнка, гибрид или офис в Москве/ СПб - выбирай, как тебе комфортнее; ДМС со стоматологией и программу заботы о сотрудниках после шести месяцев работы; ипотека: льготные программы кредитования, как для ИТ-специалистов, так и корпоративные программы; высокопроизводительная техника: Lenovo, HP, DELL ноутбуки в топовых комплектациях.  Мы развиваем комьюнити по функциональным направлениям, проводим внутренние митапы. Участвуем во внешних конференциях – ходим послушать, рассказать о своём опыте и пообщаться. Делаем собственное внешнее мероприятие Samokat Tech Meetup. Помогаем нашим ребятам делиться опытом друг с другом и с внешним сообществом: готовим доклады, пишем статьи, публикуем опенсорс, дружим с экспертами и соседями по индустрии и многое другое! Если ты открыт для новых карьерных возможностей - то давай знакомиться. Процесс рассмотрения кандидатов: Интервью с hr - финальное интервью - оффер!В сопроводительном письме обязательно расскажи о себе!"
Machine learning engineer,89011365,False,https://hh.ru/vacancy/89011365,2023-11-02T16:40:05+0300,,ЭНИ.РАН,Москва,Аналитик,Полная занятость,От 1 года до 3 лет,,,,,,Удаленная работа,"Наличие продуктового опыта: от ресерча до запуска в прод. Глубокие знания в областях Machine Learning, Deep Learning. Опыт в сферах...","Создавать продукт, который защищает пользователей от вредоносного ПО. Обрабатывать миллионы событий и строить прогнозы. Обнаруживать ранее неизвестные угрозы. ",,,Открытая,"ANY.RUN - международная продуктовая команда. Наш сервис - интерактивная песочница для анализа подозрительного контента. Мы продукт #1 в мире, которым пользуются самые известные крупные компании: IBM, Canon, Hewlett-Packard, Renault, GAP, McAfee и много других:) Идеальная вакансия для тебя, если хочешь:  создавать продукт, который защищает пользователей от вредоносного ПО; обрабатывать миллионы событий и строить прогнозы; обнаруживать ранее неизвестные угрозы; работать в аккредитованной компании по кибербезопасности.  Требования:  Наличие продуктового опыта: от ресерча до запуска в прод; Глубокие знания в областях Machine Learning, Deep Learning; Опыт в сферах Computer Vision, Image Recognition; Опыт в сфере работы с большими данными; Знание принципов работы моделей для обработки текста; Знание Python (в т.ч. multithreading) и соответствующих библиотек: pytorch, numpy, scipy, sklearn, panda, PyTest и т.д.; Опыт работы с Linux и Docker;  Будут плюсом:  Наличие научных статей по итогам конференций и/или в журналах; Ученая степень физико-математических или технических наук; Наличие сертификатов пройденных курсов по ML и анализу данных.  Что по условиям:   Коллектив увлеченных профессионалов - твое мнение всегда будет услышано, а роль в проекте весома;   Конкурентную ЗП, которая напрямую зависит от твоих способностей и растет вместе с тобой, бонусы-премии по результатам работы;   Полный рабочий день 5/2, полностью удаленно (страна не имеет значения), или всегда рады будем повидаться в офисе в Ульяновске.   Apple MacBook или быстрое железо для адептов Linux;   ДМС со стоматологией, возможность посещения профессиональных конференций и обучения за счет компании, компенсация затрат на спорт и психотерапию;   Атмосферу стартапа без бюрократии и другой ерунды.   С нетерпением ждем тебя в команде ANY.RUN!"
Data Scientist (штаб В2С),88870721,False,https://hh.ru/vacancy/88870721,2023-10-31T11:00:10+0300,Сбер. IT,СБЕР,Москва,Дата-сайентист,Полная занятость,Нет опыта,,,,,,Полный день,Хорошая академическая подготовка по математике и информационным технологиям. Владение статистическими методами и машинным обучением. Владение языками программирования для статистической обработки...,Выполнение прикладных исследований и аналитических запросов (разработка моделей для больших и зашумленных наборов данных для проверки гипотез для оптимизации производственного...,,,Открытая,"Обязанности:  Выполнение прикладных исследований и аналитических запросов (разработка моделей для больших и зашумленных наборов данных для проверки гипотез для оптимизации производственного процесса); Обработка, анализ, систематизация данных (наблюдаемых с разной детализацией на множестве операций), и разработка системы их анализа; Подготовка отчётов и презентаций с выводами и рекомендациями.  Первые задачи:  Исследование взаимозависимости персональной продуктивности разработчика и свойств команды. Оценка качества планирования целей, поиск взаимосвязей, оценка статуса реализации. Оценка уникальности технологической экспертизы членов команд.  Требования:​​​​​​​  Хорошая академическая подготовка по математике и информационным технологиям; Владение статистическими методами и машинным обучением; Владение языками программирования для статистической обработки и визуализации данных (Python, R), необходимыми программными библиотеками для них; Системное мышление; Умение работать в ограниченных сроках; Умение выявлять проблемы и создавать решения при отсутствии предельно точно сформулированных условий; Любопытство и самомотивация; Стремление к успеху, способность проявлять инициативу и работать самостоятельно и в команде; Готовность глубоко погрузиться в производственный процесс всей линейки В2С; Способность и готовность выполнять все этапы работ — подготовку данных, поиск закономерностей, обучение модели и внедрение её в пром и т.д.  Условия:​​​​​​​  Достойный годовой бонус; Обучение за счет компании: Корпоративный университет, Виртуальная школа Сбера, повышение квалификации, IT конференции, митапы, библиотека; ДМС, страхование от несчастных случаев и тяжелых заболеваний, корпоративная пенсионная программа; Скидки на отдых на лучших курортах в Сочи, Ялте и Алтае; Бесплатная подписка СберПрайм+, скидки от компаний-партнеров для сотрудников; Бесплатный спортзал на территории офиса. "
Стажер Data scientist,88365358,False,https://hh.ru/vacancy/88365358,2023-10-18T19:19:14+0300,Сбер. IT,СБЕР,Москва,"Программист, разработчик",Стажировка,Нет опыта,,,,,,Полный день,Высшее образование/не законченное высшее (ИТ/техническое/математическое/экономико-математическое). Основы SQL. Знание основных алгоритмов интеллектуального анализа данных. ,Самостоятельное ведение проекта под руководством baddy (senior <highlighttext>data</highlighttext> <highlighttext>scientist</highlighttext>). Обучение и проверка pull request. Реализация распознавания документов на готовом решении...,,,Открытая,"Блок ""Сеть продаж"" курирует все физические каналы касания клиента с экосистемой (отделения, банкоматы, агентская сеть и тд). Мы разрабатываем и внедряем end-to-end решения на основе машинного обучения в бизнес-процессы, связанные с обслуживанием клиентов. ""Поток продаж"" представляет собой автоматизированную систему по доставке персональных предложений для клиентов. Вместе мы будем создавать новые процессы и разрабатывать приложения. Сейчас мы в поиске стажера на вакансию Стажер Data scientist в команду управления моделированием и исследованием данных.   Обязанности:  Самостоятельное ведение проекта под руководством baddy (senior data scientist) Обучение и проверка pull request Реализация распознавания документов на готовом решении Сбера Анализ неструктурированной информации (презентации, документы) Проверка гипотез с помощью методов машинного обучения  Требования:  Высшее образование/не законченное высшее (ИТ/техническое/математическое/экономико-математическое) Основы SQL Знание основных алгоритмов интеллектуального анализа данных Python в качестве основного языка Знание основных алгоритмов интеллектуального анализа данных (линейная/логистическая регрессия, random forest, xgboost и т.д.) Парсинг данных из открытых источников как дополнительное преимущество Умение работать в команде  Условия:  Дружная разносторонняя команда Уникальные масштабные проекты и сложные разноплановые задачи. Участие в различных конференциях, митапах банка и корпоративных мероприятиях. Обучение за счёт банка (онлайн и офлайн, в т. ч. на внешних платформах). Оформление по ТК на 6 месяцев на ставку стажера. В случае успешного прохождения стажировки, перевод на постоянную должность. ДМС, спортзал, сниженные ставки по кредитам, дисконт-программы от множества компаний-партнеров. Возможность принять участие в других крупных и уникальных проектах банка. "
Data Scientist,88708619,False,https://hh.ru/vacancy/88708619,2023-10-26T22:06:43+0300,,Open Hiring,Москва,Дата-сайентист,Полная занятость,От 1 года до 3 лет,,300000.0,,RUR,True,Полный день,Сompleted high technical education (connecting with DS/ML as a plus). - Strong experience and understanding ML (NLP as an advantage). - ,"Use algorithms to transform data. - Work with numerical and text data, including unstructured ones. - Realize classic and modern ML models...",,,Открытая,"For our client, an international company with a distributed team, we are looking for a passionate Data Scientist (with relocation only, not worldwide) Responsibilities: - Use algorithms to transform data- Work with numerical and text data, including unstructured ones- Realize classic and modern ML models, as well as NLP Requirements: - Сompleted high technical education (connecting with DS/ML as a plus)- Strong experience and understanding ML (NLP as an advantage)- Previous strong data science experience and you like it- Python must have (other languages/tools are a plus)- C1/B2 English Offers:- Working in the strong distributed team in the international company- Salary + bonuses- Social and relocation package This is a relocation position. Please leave apply only if you are ready for relocation. When applying, please mark how long (in the case of an offer) you are ready to move to another country"
Junior Data Scientist (SberStart),88835361,False,https://hh.ru/vacancy/88835361,2023-10-30T14:55:49+0300,Сбер для экспертов,СБЕР,Москва,"Программист, разработчик",Полная занятость,Нет опыта,,,,,,Полный день,"Имеешь законченное высшее техническое образование. Имеешь знания в области теории вероятностей, статистики, эконометрики, оптимизации, численных методов. Понимаешь ML-модели (регрессии...","Можешь построить пайплайн для полного решения задачи: получение данных (PySpark, SQL, Excel, etc), обработка данных (Pandas, etc), визуализация данных (Seaborn...",,,Открытая,"Мы приглашаем талантливых начинающих Junior Data Scientist на программу SberStart! Обязанности В рамках программы у тебя будет возможность пройти уникальную программу адаптации, погрузиться в увлекательный мир коммерческой разработки, прокачать свои технические навыки на боевых задачах, пройти несколько стажировок и по итогам перейти в команду своей мечты. Требования Мы ожидаем, что ты:  Имеешь законченное высшее техническое образование; Имеешь знания в области теории вероятностей, статистики, эконометрики, оптимизации, численных методов; Понимаешь ML-модели (регрессии, классификации, кластеризация и т. д.) и знаешь как отсечь заведомо плохие модели на старте решения; Можешь построить пайплайн для полного решения задачи: получение данных (PySpark, SQL, Excel, etc), обработка данных (Pandas, etc), визуализация данных (Seaborn, etc); Знаешь программирование, в том числе языки Python и SQL, а также библиотеки машинного обучения (Numpy, Pandas, SkLearn);  · Готов(а) работать полный рабочий день (40 часов в неделю) Будет плюсом, если ты:  · Имеешь портфолио с реализованными проектами  Условия Мы предлагаем: · Официальное оформление по ТК РФ · Ежемесячный фиксированный оклад · Реальные задачи от лучших ИТ-команд Сбера · Возможность получить дополнительное обучение и опыт Если ты готов, то · Откликайся на вакансию · Будь готов пройти тестирования и собеседование"
ML developer,86054615,False,https://hh.ru/vacancy/86054615,2023-10-27T09:03:04+0300,Сбер. Data Science,СБЕР,Москва,Дата-сайентист,Полная занятость,Нет опыта,,,,,,Полный день,"1. Хорошие знания Python и умение писать качественный, чистый код, будет плюсом владение ML-библиотеками (numpy, pandas, matplolib, sklearn). 2. ","1. Участие в командной разработке и доработки банковских продуктов с использование больших нейросетевых моделей. 2. Проработка архитектуры взаимодействия систем, анализ...",,,Открытая,"В новую R&D AI команду ищем Разработчика в области машинного обучения, Deep Learning и больших данных для работы над передовыми AI-технологиями, подобным ChatGPT или MidJourney. Мы разрабатываем и помогает дорабатывать продукты на основе больших нейросетевых моделей. В нашей команды вы будете заниматься плотным взаимодействием с исследователями и Data-Scientist’ами, интеграцией моделей машинного обучения в промышленную инфраструктуру, разработкой микросервисов и интеграцией сервисов с банковскими системами.   Задачи:   1. Участие в командной разработке и доработки банковских продуктов с использование больших нейросетевых моделей 2. Проработка архитектуры взаимодействия систем, анализ, подготовка технических требований, оценка эффективности предложенного решения 3. Инжиниринг данных и создания MVP ML-сервисов 4. Интеграция и оптимизация моделей машинного обучения в промышленную инфраструктуру с использованием Python 5. Разработка и тестирование микросервисов и интеграция их в промышленную эксплуатацию 6. Написание и автоматизация пайплайнов / ETL-процессов обработки и поставки данных; 7. Лидерство и взаимодействие с коллегами по вопросам настройки инфраструктуры компании (Hadoop-кластера, кластера с GPU), работа по настройке окружений, деплой кода.   Мы ожидаем от кандидата: 1. Хорошие знания Python и умение писать качественный, чистый код, будет плюсом владение ML-библиотеками (numpy, pandas, matplolib, sklearn); 2. Хорошее знание SQL: агрегации, джойны, вложенные запросы, оконные функции, индексы и оптимизация запросов; 3. Опыт работы с Hadoop, Apache Spark, Hive, Apache Kafka, опыт разработки микросервисов; 4. Опыт разворачивания, настройки мониторинга и передачи на поддержку разработанных решений;   Мы готовы предложить:   1. Уникальные масштабные проекты, работа в приоритетном направлении; 2. Достойная заработная плата (оклад + годовая премии); 3. Современные рабочие места и программное обеспечение; 4. Ипотека выгоднее для каждого сотрудника и льготные условия кредитования; 5. Бесплатная подписка СберПрайм+; 6. Скидки на продукты компаний-партнеров: Okko, Сбер Маркет, Delivery Club, Самокат, Сбер Еаптека и другие; 7. ДМС с первого дня и льготное страхование для близких; 8. Корпоративная пенсионная программа; 9. Обучение за счет Компании: онлайн курсы в Виртуальной школе Сбера и неограниченный доступ к библиотеке, обучение в Корпоративном университете, тренинги, митапы и возможность получить новую квалификацию; 10. Реферальная программа для сотрудников: можно пригласить в команду знакомых профессионалов и получить вознаграждение до 100 тыс. рублей; 11. Скидки на отдых в лучшем в мире курортном комплексе «Mriya Resort & SPA».  "
Data Scientist (МТС еСпортс),88107670,False,https://hh.ru/vacancy/88107670,2023-10-24T13:36:07+0300,"«МТС», Digital",МТС,Москва,Дата-сайентист,Полная занятость,От 1 года до 3 лет,,,,,,Полный день,"Знания Python и SQL, а также опыт интеграции с Go сервисами. Опыт работы с рекомендательными системами для контента или поисковыми...",Формулировать с продуктовой командой гипотезы улучшения рекомендаций. Совершенствовать с операционной командой и командой CV существующую разметку. Перекладывать бизнес-задачи на...,,,Открытая,"МТС Digital – сердце цифровой экосистемы МТС. Облачные сервисы, суперкомпьютер, системы видеоаналитики, IoT, собственная лаборатория AI и 20+ петабайт данных, финтех, стриминг, гейминг, мобильные приложения. Каждый день мы работаем над тем, чтобы вывести мобильную и веб-разработку на новый уровень, благодаря сплоченным продуктовым командам и agile методологиям. Сейчас в нашу команду мы ищем опытного и сильного Data Scientist. Мы строим сложную рекомендательную систему для самого непростого типа контакта – видео. Мы хотим максимально быстро уметь спорить контент, определять его потенциальную хиральность в целом и для отдельных групп в частностях. Чем предстоит заниматься:   формулировать с продуктовой командой гипотезы улучшения рекомендаций;   совершенствовать с операционной командой и командой CV существующую разметку;   перекладывать бизнес-задачи на язык математики и валидировать результаты через A/B тесты.   Что мы ждем от кандидата:   знания Python и SQL, а также опыт интеграции с Go сервисами.   опыт работы с рекомендательными системами для контента или поисковыми системами для маркетплейсов/классифайдов;   понимание чем look-a-like отличается от response и uplift;   опыт работы с A/B-тестами и анализа результатов экспериментов.:   опыт работы с разными методами матричной факторизации для извлечения информации из истории просмотров, взаимодействие с видео и поиска;   умение строить текстовый эмбеддинги для разных типов контента, в том числе с использованием вспомогательной ручной и ML-разметки;   Что мы предлагаем:  собственную платформу MTS Ocean для получения ИТ-ресурсов, а это значит, что деплой, мониторинг, observability - не будут для вас проблемой, вы сможете сосредоточиться на фичах; профессиональные гильдии инженеров по направлениям, чтобы поддерживать друг друга и обмениваться опытом; внутреннюю площадку TechTalks для обмена опытом, дискуссий, развития навыков самопрезентации; участие во внешних IT конференциях. Мы выступаем на HighLoad++, DataFest, Mobius, Test Driven Conf, Joker, DevOps, Матемаркетинг и даже проводим собственную конференцию по архитектуре Hello, conference!; полезные курсы и вебинары в корпоративном университете и электронные библиотеки.  А еще:  медицинскую страховку с 1 месяца со 100% покрытием расходов, включая стоматологию, страхование жизни и здоровья в поездках за рубеж. А еще можно застраховать родственников с корпоративной скидкой; доступ к сервису «Понимаю»: онлайн-консультации с психологом, юристом, экспертом по финансам или ЗОЖ; корпоративный и командный психолог в офисе и массажный кабинет; единую подписку МТС Premium — KION light в онлайн-кинотеатре KION, сервис МТС Music, 30 дней бесплатного пользования подпиской OZON Premium; скидки и предложения от партнеров на фитнес, занятия английским и прочее. "
Data scientist,88515195,False,https://hh.ru/vacancy/88515195,2023-10-23T11:10:12+0300,Сбер для экспертов,СБЕР,Екатеринбург,"Программист, разработчик",Полная занятость,От 1 года до 3 лет,,,,,,Полный день,Наличие высшего технического или экономического образования. Хорошее понимание эконометрики / практический опыт анализа данных. Опыт работы в области data science. ,Разрабатывать модели для прогноза поведения клиентов по продуктам Банка (в Python). Проводить расчеты NPV продуктов Банка на основании прогнозных моделей. ,,,Открытая,"Дирекция инвестиционной экспертизы ПАО «Сбербанк» ищет data scientists, которые умеют решать нестандартные задачи, имеют проактивную жизненную позицию и готовы работать в кросс-территориальной команде (Москва, Санкт-Петербург, Нижний Новгород, Екатеринбург, Воронеж) Что нужно делать:  Разрабатывать модели для прогноза поведения клиентов по продуктам Банка (в Python) Проводить расчеты NPV продуктов Банка на основании прогнозных моделей Участвовать в разработке и реализации методологии по расчету CLTV (Customer Lifetime Value) клиентов физических лиц Работать с базами данных. Обрабатывать результаты используя Apache Spark.  Требования  Наличие высшего технического или экономического образования Хорошее понимание эконометрики / практический опыт анализа данных Опыт работы в области data science Опыт работы с Hadoop, Apache spark Знание корпоративных финансов.  Мы предлагаем  Официальное оформление с первого дня Офис в центре города (Горького, 67). График работы 5/2 с 09:00-18:00 Льготные условия кредитования ДМС с первого дня и льготное страхование для близких Бесплатную подписку СберПрайм+, скидки на продукты компаний-партнеров: Okko, Сбер Маркет, Delivery Club, Самокат, Сбер Еаптека и других Корпоративную пенсионную программу Обучение за счет компании: онлайн курсы в Виртуальной школе Сбера, возможность получить новую квалификацию Стабильный оклад и премии по итогам работы Корпоративный спортзал и скидки в спортзалы-партнеры (если есть на территории). "
